acronym,id,full_id,all citation
"ת""פ",51207-09-12,"ת""פ 51207-09-12",
"ת""פ",39605-04-11,"ת""פ 39605-04-11",
"ע""פ",1567/14,"ע""פ 1567/14",
"ע""פ",3651/08,"ע""פ 3651/08",
"ע""פ",2420/15,"ע""פ 2420/15",
"ת""פ",51523-10-17,"ת""פ 51523-10-17","ע""פ 2186/13,ע""פ 319/11,ע""פ 2006/12,ע""פ 8280/15,ע""פ 7502/12,ע""פ 2718/04,ע""פ 6989/13,ע""פ 7317/13,ע""פ 1768/14,ע""פ 7552/14,ע""פ 3156/11,ע""פ 526/14,ע""פ 2251/11,ע""פ 4945/13,ע""פ 2258/13,ע""פ 6583/06,ע""פ 135/17,ע""פ 2839/05,ע""פ 1323/13"
"ע""פ",9702/16,"ע""פ 9702/16",
"ת""פ",49079-07-16,"ת""פ 49079-07-16",
"ע""פ",779/15,"ע""פ 779/15",
"ת""פ",3295-04-18,"ת""פ 3295-04-18","ע""פ 4945/13,ע""פ 7552/14,ע""פ 5643/14,ע""פ 2186/13,ע""פ 8045/17,ע""פ 6583/06,ע""פ 1397/16,ע""פ 526/14,ע""פ 135/17,ע""פ 7502/12,ע""פ 2839/05,ע""פ 1323/13,ע""פ 2718/04"
"ע""פ",4221/13,"ע""פ 4221/13",
"ת""פ",13401-03-12,"ת""פ 13401-03-12",
"ע""פ",4065/18,"ע""פ 4065/18",
"ע""פ",3981/14,"ע""פ 3981/14",
"ע""פ",7403/07,"ע""פ 7403/07",
"ת""פ",34003-04-18,"ת""פ 34003-04-18",
"ע""פ",1282/07,"ע""פ 1282/07",
"ע""פ",6053/13,"ע""פ 6053/13",
"ע""פ",1397/16,"ע""פ 1397/16",
"ת""פ",54962-08-15,"ת""פ 54962-08-15","ע""פ 4654/13,ע""פ 1127/13,ע""פ 2626/13,ע""פ 3927/16,ע""פ 5147/13,ע""פ 3289/05,ע""פ 1323/13,ע""פ 7403/07,ע""פ 3015/09"
"ע""פ",4595/13,"ע""פ 4595/13",
"ת""פ",229-08-16,"ת""פ 229-08-16","ת""פ 29269-09-15,ע""פ 5300/16,ת""פ 19384-05-16,ת""פ 54132-06-15,ע""פ 6816/16,ע""פ 1456/07,ת""פ 13401-03-12,ת""פ 49079-07-16,ע""פ 953/15,ע""פ 9821/16,ת""פ 34688-10-15,ע""פ 6861/16,ת""פ 273-10-15,ע""פ 2390/17,ע""פ 4329/10,ע""פ 1903/13,ע""פ 262/06"
"ע""פ",4702/15,"ע""פ 4702/15",
"ע""פ",9373/10,"ע""פ 9373/10",
"ע""פ",8846/15,"ע""פ 8846/15",
"ע""פ",3562/05,"ע""פ 3562/05",
"ע""פ",6799/14,"ע""פ 6799/14",
"ע""פ",5469/13,"ע""פ 5469/13",
