source_verdict,cite_verdict,link,download_status
"ת""פ 44877-06-13.csv",2926/02,http://www.nevo.co.il/case/5865769,Failed
"ת""פ 2058-09-17.csv",4977/06,http://www.nevo.co.il/case/6224157,Downloaded
"ת""פ 10476-12-17.csv",8845/15,http://www.nevo.co.il/case/20817889,Downloaded
"ת""פ 4795-12-17.csv",2638/10,http://www.nevo.co.il/case/6244379,Downloaded
"ת""פ 35364-01-18.csv",1928/15,http://www.nevo.co.il/case/20118388,Downloaded
"ת""פ 36982-03-18.csv",401/16,http://www.nevo.co.il/case/20911367,Downloaded
"ת""פ 53496-03-18.csv",3336/18,http://www.nevo.co.il/case/24140726,Downloaded
"ת""פ 52225-03-18.csv",4559/16,http://www.nevo.co.il/case/21475135,Downloaded
"ת""פ 37387-04-18.csv",6558/16,http://www.nevo.co.il/case/21478427,Downloaded
"ת""פ 32731-05-18.csv",2398/14,http://www.nevo.co.il/case/13093744,Downloaded
"ת""פ 36728-06-18.csv",5717/14,http://www.nevo.co.il/case/17948201,Downloaded
"ת""פ 47284-06-18.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"ת""פ 50330-07-18.csv",2834/18,http://www.nevo.co.il/case/23850993,Downloaded
"ת""פ 60648-07-18.csv",3877/16,http://www.nevo.co.il/case/21474168,Downloaded
"ת""פ 60792-07-18.csv",5560/06,http://www.nevo.co.il/case/6020990,Downloaded
"ת""פ 39800-09-18.csv",8846/15,http://www.nevo.co.il/case/20817891,Downloaded
"ת""פ 1118-10-18.csv",5677/12,http://www.nevo.co.il/case/5591782,Downloaded
"ת""פ 8310-10-18.csv",9373/10,http://www.nevo.co.il/case/6151556,Downloaded
"ת""פ 18300-11-18.csv",3877/16,http://www.nevo.co.il/case/21474168,Downloaded
"ת""פ 58698-11-18.csv",5323/12,http://www.nevo.co.il/case/5590091,Downloaded
"ת""פ 36698-12-18.csv",2398/14,http://www.nevo.co.il/case/13093744,Downloaded
"ת""פ 11134-01-19.csv",8845/15,http://www.nevo.co.il/case/20817889,Downloaded
"ת""פ 17860-01-19.csv",2839/05,http://www.nevo.co.il/case/5859902,Downloaded
"ת""פ 61759-02-19.csv",2834/18,http://www.nevo.co.il/case/23850993,Downloaded
"ת""פ 27929-03-19.csv",3156/11,No Link Found,No Link Found
"ת""פ 1641-04-19.csv",5681/14,http://www.nevo.co.il/case/17954222,Downloaded
"ת""פ 22765-09-19.csv",8845/15,http://www.nevo.co.il/case/20817889,Downloaded
"ת""פ 21813-09-16.csv",5681/14,http://www.nevo.co.il/case/17954222,Downloaded
