paragraph_number,paragraph_text,citation,part,predicted_label
51,"בית המשפט העליון נדרש באריכות לסוגיה זו במסגרת ע""פ 4910/13 אחמד ג'אבר נ' מדינת ישראל ׁ(פורסם בנבו, 29.10.14). בסופו של פסק דין זה, מתקבלת בדעת רוב עמדת כב' השופטת ברק-ארז יחד עם דעתו של כב' השופט פוגלמן לפיה, בבואו של בית משפט לקבוע אם מדובר באירוע אחד בגינו יש לקבוע מתחם אחד, אם לאו, יש להחיל את מבחן ""ניסיון החיים"" ומבחן ""הקשר ההדוק"". עוד ראה בהקשר לכך ע""פ 2420/15 אבטליון נ' מדינת ישראל (פורסם בנבו, 29.11.15), רע""פ 4760/14 קיסלמן נ' מדינת ישראל (פורסם בנבו, 7.5.15) וע""פ 5643/14 אחמד עיסא נ' מדינת ישראל (פורסם בנבו, 23.6.15).","ע""פ 4910/13",דיון והכרעה:,0
51,"בית המשפט העליון נדרש באריכות לסוגיה זו במסגרת ע""פ 4910/13 אחמד ג'אבר נ' מדינת ישראל ׁ(פורסם בנבו, 29.10.14). בסופו של פסק דין זה, מתקבלת בדעת רוב עמדת כב' השופטת ברק-ארז יחד עם דעתו של כב' השופט פוגלמן לפיה, בבואו של בית משפט לקבוע אם מדובר באירוע אחד בגינו יש לקבוע מתחם אחד, אם לאו, יש להחיל את מבחן ""ניסיון החיים"" ומבחן ""הקשר ההדוק"". עוד ראה בהקשר לכך ע""פ 2420/15 אבטליון נ' מדינת ישראל (פורסם בנבו, 29.11.15), רע""פ 4760/14 קיסלמן נ' מדינת ישראל (פורסם בנבו, 7.5.15) וע""פ 5643/14 אחמד עיסא נ' מדינת ישראל (פורסם בנבו, 23.6.15).","ע""פ 2420/15",דיון והכרעה:,0
51,"בית המשפט העליון נדרש באריכות לסוגיה זו במסגרת ע""פ 4910/13 אחמד ג'אבר נ' מדינת ישראל ׁ(פורסם בנבו, 29.10.14). בסופו של פסק דין זה, מתקבלת בדעת רוב עמדת כב' השופטת ברק-ארז יחד עם דעתו של כב' השופט פוגלמן לפיה, בבואו של בית משפט לקבוע אם מדובר באירוע אחד בגינו יש לקבוע מתחם אחד, אם לאו, יש להחיל את מבחן ""ניסיון החיים"" ומבחן ""הקשר ההדוק"". עוד ראה בהקשר לכך ע""פ 2420/15 אבטליון נ' מדינת ישראל (פורסם בנבו, 29.11.15), רע""פ 4760/14 קיסלמן נ' מדינת ישראל (פורסם בנבו, 7.5.15) וע""פ 5643/14 אחמד עיסא נ' מדינת ישראל (פורסם בנבו, 23.6.15).","ע""פ 4760/14",דיון והכרעה:,0
51,"בית המשפט העליון נדרש באריכות לסוגיה זו במסגרת ע""פ 4910/13 אחמד ג'אבר נ' מדינת ישראל ׁ(פורסם בנבו, 29.10.14). בסופו של פסק דין זה, מתקבלת בדעת רוב עמדת כב' השופטת ברק-ארז יחד עם דעתו של כב' השופט פוגלמן לפיה, בבואו של בית משפט לקבוע אם מדובר באירוע אחד בגינו יש לקבוע מתחם אחד, אם לאו, יש להחיל את מבחן ""ניסיון החיים"" ומבחן ""הקשר ההדוק"". עוד ראה בהקשר לכך ע""פ 2420/15 אבטליון נ' מדינת ישראל (פורסם בנבו, 29.11.15), רע""פ 4760/14 קיסלמן נ' מדינת ישראל (פורסם בנבו, 7.5.15) וע""פ 5643/14 אחמד עיסא נ' מדינת ישראל (פורסם בנבו, 23.6.15).","ע""פ 5643/14",דיון והכרעה:,0
63,"על החומרה שיש לנקוט בעבירות נשק ראו ע""פ 1332/04 מ""י נ' יצחק רפאל פס ואח' (פורסם בנבו, 9.04.2004):","ע""פ 1332/04",דיון והכרעה:,0
69,"בע""פ 2368/11 ג'מאל נפאע נ' מדינת ישראל (פורסם בנבו, 4.12.11)   ציין בית המשפט כי:","ע""פ 2368/11",דיון והכרעה:,0
76,"הערה מקדימה נוספת הנוגעת לעבירות נשק, עניינה מגמת החמרה ברורה בענישה בשנים האחרונות. מגמה זו מוצאת ביטוי מפורש בגזרי הדין של ביהמ""ש העליון וראה בין היתר ע""פ 135/17  באסל נ' מדינת ישראל (פורסם בנבו, 8.3.17), ע""פ 2422/14  ח'אדר נ' מדינת ישראל (פורסם בנבו, 21.12.14), ע""פ 4945/13 מדינת ישראל נ' סלימאן (פורסם בנבו, 19.1.14) פסקה 14 וההפניות שם.","ע""פ 135/17",דיון והכרעה:,0
76,"הערה מקדימה נוספת הנוגעת לעבירות נשק, עניינה מגמת החמרה ברורה בענישה בשנים האחרונות. מגמה זו מוצאת ביטוי מפורש בגזרי הדין של ביהמ""ש העליון וראה בין היתר ע""פ 135/17  באסל נ' מדינת ישראל (פורסם בנבו, 8.3.17), ע""פ 2422/14  ח'אדר נ' מדינת ישראל (פורסם בנבו, 21.12.14), ע""פ 4945/13 מדינת ישראל נ' סלימאן (פורסם בנבו, 19.1.14) פסקה 14 וההפניות שם.","ע""פ 2422/14",דיון והכרעה:,0
76,"הערה מקדימה נוספת הנוגעת לעבירות נשק, עניינה מגמת החמרה ברורה בענישה בשנים האחרונות. מגמה זו מוצאת ביטוי מפורש בגזרי הדין של ביהמ""ש העליון וראה בין היתר ע""פ 135/17  באסל נ' מדינת ישראל (פורסם בנבו, 8.3.17), ע""פ 2422/14  ח'אדר נ' מדינת ישראל (פורסם בנבו, 21.12.14), ע""פ 4945/13 מדינת ישראל נ' סלימאן (פורסם בנבו, 19.1.14) פסקה 14 וההפניות שם.","ע""פ 4945/13",דיון והכרעה:,0
78,"הערה שלישית, נוגעת לכך שהפסיקה הנוהגת מהווה אך פרמטר אחד שעל בית המשפט לקחתו בחשבון כחלק ממכלול שיקולים עובר לקביעת מתחם העונש ההולם, והענישה הינה לעולם אינדיבידואלית (ראה ע""פ 4910/16 אבני נ' מדינת ישראל (פורסם בנבו, 5.4.17) פסקה 7). בהינתן הערות אלו, להלן מדגם של הפסיקה הנוהגת בעבירות של החזקה ונשיאת נשק.","ע""פ 4910/16",דיון והכרעה:,0
