paragraph_number,paragraph_text,citation,part,predicted_label
30,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוע עבירות נשק. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. לאור כך, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. מיגור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19] וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 5446/19",דיון - קביעת מתחם העונש ההולם,0
30,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוע עבירות נשק. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. לאור כך, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. מיגור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19] וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 4406/19",דיון - קביעת מתחם העונש ההולם,0
30,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוע עבירות נשק. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. לאור כך, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. מיגור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19] וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 1509/20",דיון - קביעת מתחם העונש ההולם,0
31,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.2.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 4945/13",דיון - קביעת מתחם העונש ההולם,0
31,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.2.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 2398/14",דיון - קביעת מתחם העונש ההולם,0
31,"עבירות הנשק הוכרו בפסיקה כ""מכת מדינה"" באופן אשר מצדיק החמרת ענישה בהן (בהקשר זה ראו ע""פ 4945/13 מדינת ישראל נ' סלימאן [19.4.14]; ע""פ 2398/14 אלהזייל נ' מדינת ישראל [8.7.14]; ע""פ 5681/14 מדינת ישראל נ' טאטור [1.2.15]). עבירות אלו אף הוכרו ""כמכת אזור"" של ממש (בהקשר זה ראו בין היתר עפ""ג (מח' מרכז-לוד) 15337-10-14 ג'אבר נ' מדינת ישראל [7.12.14], עפ""ג (מחוזי מרכז-לוד) 27417-11-15 מדינת ישראל נ' עבד אל רחים [17.1.16]).","ע""פ 5681/14",דיון - קביעת מתחם העונש ההולם,0
35,"בע""פ 3156/11 זראיעה נ' מדינת ישראל (21.2.12), נדחה ערעורו של הנאשם אשר הורשע על פי הודאתו בעבירות של נשיאה והובלת נשק והסתייעות ברכב לביצוע פשע. הנאשם נסע ברכבו לאחר שהסליק בו אקדח, מחסנית טעונה בכדורים וקופסאות עם כדורי אקדח. האקדח והתחמושת נתפסו בחיפוש שגרתי שביצעה המשטרה ברכב. הנאשם, ללא עבר פלילי, מנהל אורח חיים נורמטיבי, אב ל-4 ילדים ומפרנס יחיד במשפחתו, נדון לעונש של 24 חודשי מאסר בפועל.","ע""פ 3156/11",דיון - קביעת מתחם העונש ההולם,1
36,"בע""פ 2892/13 עודתאללה נ' מדינת ישראל (29.9.13), נדחה ערעורו של נאשם אשר הורשע לאחר ניהול הוכחות, בעבירה של נשיאה והובלת נשק והסתייעות ברכב לביצוע פשע. הנאשם נהג ברכב והוביל אקדח ובו מחסנית ריקה מכדורים. הנאשם נעדר עבר פלילי ועד לביצוע העבירה ניהל אורח חיים נורמטיבי. בית המשפט המחוזי קבע מתחם שבין 12 ל-36 חודשי מאסר והטיל על הנאשם 21 חודשי מאסר בפועל.","ע""פ 2892/13",דיון - קביעת מתחם העונש ההולם,1
37,"בע""פ 4329/10 פלוני נ' מדינת ישראל (25.10.10), נדחה ערעורו של נאשם אשר הורשע על פי הודאתו בנשיאת נשק ובהחזקתו. הנאשם החזיק באקדח טעון בתחמושת בעת שנהג ברכב. הנאשם צעיר, סטודנט, נעדר עבר פלילי, ששירות המבחן המליץ בעניינו להסתפק בעונש של עבודות שירות. בית המשפט המחוזי השית על הנאשם עונש של 20 חודשי מאסר בפועל.","ע""פ 4329/10",דיון - קביעת מתחם העונש ההולם,1
38,"בע""פ 2564/19 אזברגה נ' מדינת ישראל (18.7.19) נדחה ערעורו של נאשם שהורשע על פי הודאתו בעבירה של נשיאת נשק. הנאשם רכש אקדח במטרה לסחור בו, וקיבל לרשותו אקדח 9 מ""מ עם מחסנית תואמת, בתמורה כספית. הנאשם ואחר נכנסו לרכבו, הסתירו את האקדח, ונסעו עד שנעצרו על-ידי המשטרה. נקבע מתחם שבין 12 ל-40 חודשי מאסר, והנאשם, ללא עבר פלילי, נדון ל-16 חודשי מאסר בפועל.","ע""פ 2564/19",דיון - קביעת מתחם העונש ההולם,1
