citation,context_text,extracted_text,predicted_label,extracted_citation,link
"ע""פ 1639/98","בית המשפט העליון נדרש לא אחת לעניין תחימת המרכיב העובדתי של עבירת הניסיון.
בע""פ 1639/98 דהן נ. מ""י, פדי נה(4), 501, נאמר בעניין זה:
""היסוד העובדתי של עבירת הנסיון מחייב, אפוא, עשיית מעשה שהוא חוליה במעשים המתבצעים לקראת השגת העבירה המושלמת, מעשה היוצא מגדר הכנה ומקדם את המבצע לקראת השלמת העבירה, שלביצועה הוא שואף... בהתאם לאמור בסעיף 26 לחוק, לא נדרש כי מבחינה אובייקטיבית יבוצע המעשה בתנאים ובאמצעים המאפשרים את השלמתה של העבירה, ובלבד שהמבצע לא היה מודע לכך שהוא פועל באמצעים או בתנאים שאינם מותאמים לכך.""","בע""פ 1639/98 דהן נ. מ""י, פדי נה(4), 501, נאמר בעניין זה:
""היסוד העובדתי של עבירת הנסיון מחייב, אפוא, עשיית מעשה שהוא חוליה במעשים המתבצעים לקראת השגת העבירה המושלמת, מעשה היוצא מגדר הכנה ומקדם את המבצע לקראת השלמת העבירה, שלביצועה הוא שואף... בהתאם לאמור בסעיף 26 לחוק, לא נדרש כי מבחינה אובייקטיבית יבוצע המעשה בתנאים ובאמצעים המאפשרים את השלמתה של העבירה, ובלבד שהמבצע לא היה מודע לכך שהוא פועל באמצעים או בתנאים שאינם מותאמים לכך.""",0,"ע""פ 1639/98",
"ע""פ 5447/93","ובפרשת קובקובצויין, כי –
""... אשר לטיבו של היסוד הפיזי הנדרש בעבירת הניסיון, הרי שזה אינו ניתן להגדרה ממצה. אין חולק כי לשם ביצוע עבירת ניסיון נדרשת פעולה של אדם המהווה תחילת הוצאת הכוונה הפלילית לפועל במעשה גלוי לעין ובאמצעים המתאימים להגשמת המטרה. השאלה עד כמה יש בפעולה הגלויה כדי להוות תחילת ביצוע, תלויה בנסיבותיו המיוחדות של כל אירוע עברייני. (ראו: ש""ז פלר, יסודות בדיני עונשין (תשמ""ד, כרך ב) 104; ע""פ 5447/93, 5150 פאיז סריס נ' מדינת ישראל, פ""ד מח(2) 183, 186-187). בכל מקרה, השאלה הטעונה הכרעה היא האם ההתנהגות יצאה מגדר הכנה, ועברה להתנהגות המעשית לקראת השלמת הביצוע, ולו במידה המינימלית."" (פסקה 5).
באשר ליסוד הנפשי של עבירת הניסיון לרצח, הובהר בעניין דהן כי -"," השאלה עד כמה יש בפעולה הגלויה כדי להוות תחילת ביצוע, תלויה בנסיבותיו המיוחדות של כל אירוע עברייני. (ע""פ 5447/93, 5150 פאיז סריס נ' מדינת ישראל, פ""ד מח(2) 183, 186-187)",0,"ע""פ 5447/93",
"ע""פ 61/51","באשר ליסוד הנפשי של עבירת הניסיון לרצח, הובהר בעניין דהן כי -
""היסוד הנפשי הנדרש להרשעה בעבירת נסיון לרצח על פי סעיף 305(1) הינו כוונה לגרום לתוצאה הקטלנית. אין די בהוכחת כוונה למעשה אלימות בלבד. (ראו לענין זה: ע""פ 61/51 אבו גוש נ' היועץ המשפטי לממשלה, פ""ד ה 1249, 1252-1253, ע""פ 394/75 דילקי נ' מדינת ישראל, פ""ד ל(3) 44, 50; ע""פ 289/89 מלכה נ' מדינת ישראל, פ""ד מה(2) 301, 307). בבואנו לבחון את התקיימות היסוד הנפשי, הרי שמבחינה ראייתית, יש ערך לשימוש באמצעי המותאם לביצוע העבירה, שכן על-פי נסיון החיים, חזקה כי אדם מתכוון לתוצאות הטבעיות של מעשיו"" (פסקה 8 לפסק הדין).
וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):","(ראו לענין זה: ע""פ 61/51 אבו גוש נ' היועץ המשפטי לממשלה, פ""ד ה 1249, 1252-1253)",0,"ע""פ 61/51",
"ע""פ 394/75","באשר ליסוד הנפשי של עבירת הניסיון לרצח, הובהר בעניין דהן כי -
""היסוד הנפשי הנדרש להרשעה בעבירת נסיון לרצח על פי סעיף 305(1) הינו כוונה לגרום לתוצאה הקטלנית. אין די בהוכחת כוונה למעשה אלימות בלבד. (ראו לענין זה: ע""פ 61/51 אבו גוש נ' היועץ המשפטי לממשלה, פ""ד ה 1249, 1252-1253, ע""פ 394/75 דילקי נ' מדינת ישראל, פ""ד ל(3) 44, 50; ע""פ 289/89 מלכה נ' מדינת ישראל, פ""ד מה(2) 301, 307). בבואנו לבחון את התקיימות היסוד הנפשי, הרי שמבחינה ראייתית, יש ערך לשימוש באמצעי המותאם לביצוע העבירה, שכן על-פי נסיון החיים, חזקה כי אדם מתכוון לתוצאות הטבעיות של מעשיו"" (פסקה 8 לפסק הדין).
וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):","""ע""פ 394/75 דילקי נ' מדינת ישראל, פ""ד ל(3) 44, 50""",0,"ע""פ 61/51",
"ע""פ 289/89","באשר ליסוד הנפשי של עבירת הניסיון לרצח, הובהר בעניין דהן כי -
""היסוד הנפשי הנדרש להרשעה בעבירת נסיון לרצח על פי סעיף 305(1) הינו כוונה לגרום לתוצאה הקטלנית. אין די בהוכחת כוונה למעשה אלימות בלבד. (ראו לענין זה: ע""פ 61/51 אבו גוש נ' היועץ המשפטי לממשלה, פ""ד ה 1249, 1252-1253, ע""פ 394/75 דילקי נ' מדינת ישראל, פ""ד ל(3) 44, 50; ע""פ 289/89 מלכה נ' מדינת ישראל, פ""ד מה(2) 301, 307). בבואנו לבחון את התקיימות היסוד הנפשי, הרי שמבחינה ראייתית, יש ערך לשימוש באמצעי המותאם לביצוע העבירה, שכן על-פי נסיון החיים, חזקה כי אדם מתכוון לתוצאות הטבעיות של מעשיו"" (פסקה 8 לפסק הדין).
וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):","(ראו לענין זה: ...; ע""פ 289/89 מלכה נ' מדינת ישראל, פ""ד מה(2) 301, 307)",0,"ע""פ 61/51",
"ע""פ 2721/11","""היסוד הנפשי הנדרש להרשעה בעבירת נסיון לרצח על פי סעיף 305(1) הינו כוונה לגרום לתוצאה הקטלנית. אין די בהוכחת כוונה למעשה אלימות בלבד. (ראו לענין זה: ע""פ 61/51 אבו גוש נ' היועץ המשפטי לממשלה, פ""ד ה 1249, 1252-1253, ע""פ 394/75 דילקי נ' מדינת ישראל, פ""ד ל(3) 44, 50; ע""פ 289/89 מלכה נ' מדינת ישראל, פ""ד מה(2) 301, 307). בבואנו לבחון את התקיימות היסוד הנפשי, הרי שמבחינה ראייתית, יש ערך לשימוש באמצעי המותאם לביצוע העבירה, שכן על-פי נסיון החיים, חזקה כי אדם מתכוון לתוצאות הטבעיות של מעשיו"" (פסקה 8 לפסק הדין).
וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):
""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; ובמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""","וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):
""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; وبמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""",0,"ע""פ 61/51",
"ע""פ 9604/04","וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):
""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; ובמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""
(וכן ראו בעניין זה- ע""פ 10110/03 גמליאל ואח' נ. מ""י,  ניתן ביום 11.12.2006, להלן: פרשת גמליאל; ע""פ 3151/08 יוסי דוידוב נ' מדינת ישראל, פסקה 20, ניתן ביום 26.5.2010; ע""פ 8200/11 פלוני נ' מדינת ישראל, פסקה 7, מיום 3.9.2012; ע""פ7894/03 ג'האד ג'אבר נ' מדינת ישראל, פסקות 37-36, ניתן ביום 18.2.2008).","""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות 'חזקת הכוונה' ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""",0,"ע""פ 2721/11",
"ע""פ 228/01","וכן לאחרונה, בעניין ע""פ 2721/11 מ""י נ. שלומי אוחיון  (ניתן ביום  3.9.2012):
""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; ובמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""
(וכן ראו בעניין זה- ע""פ 10110/03 גמליאל ואח' נ. מ""י,  ניתן ביום 11.12.2006, להלן: פרשת גמליאל; ע""פ 3151/08 יוסי דוידוב נ' מדינת ישראל, פסקה 20, ניתן ביום 26.5.2010; ע""פ 8200/11 פלוני נ' מדינת ישראל, פסקה 7, מיום 3.9.2012; ע""פ7894/03 ג'האד ג'אבר נ' מדינת ישראל, פסקות 37-36, ניתן ביום 18.2.2008).","""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)).",0,"ע""פ 2721/11",
"ע""פ 10110/03","""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; ובמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""
(וכן ראו בעניין זה- ע""פ 10110/03 גמליאל ואח' נ. מ""י,  ניתן ביום 11.12.2006, להלן: פרשת גמליאל; ע""פ 3151/08 יוסי דוידוב נ' מדינת ישראל, פסקה 20, ניתן ביום 26.5.2010; ע""פ 8200/11 פלוני נ' מדינת ישראל, פסקה 7, מיום 3.9.2012; ע""פ7894/03 ג'האד ג'אבר נ' מדינת ישראל, פסקות 37-36, ניתן ביום 18.2.2008).
ומן הכלל – לעניינו של הנאשם.","(וכן ראו בעניין זה- ע""פ 10110/03 גמליאל ואח' נ. מ""י,  ניתן ביום 11.12.2006, להלן: פרשת גמליאל)",0,"ע""פ 9604/04",
"ע""פ 3151/08","""... כוונת קטילה תוכח בשני מישורים: במישור השכלי, כי מבצע העבירה צפה את התוצאה הקטלנית; ובמישור הרצוני, לפיו המבצע שאף להגשמת תוצאה זו, ""על הילך דעתו ורצונו של מבצע העבירה לומד בית המשפט מראיות נסיבתיות אובייקטיביות, אשר יש בהן כדי להעיד על מצבו הנפשי של המבצע, ואשר ככלל נבחנות באמצעות ""חזקת הכוונה"" ובאמצעות שורה של מבחני עזר אשר גובשו ופותחו בפסיקתו של בית משפט זה"" (ע""פ 9604/04 כריכלי נ' מדינת ישראל, פסקה 11 (לא פורסם, 04.09.2007) (להלן: עניין כריכלי)). חזקת הכוונה היא חזקה ראייתית, הניתנת לסתירה, לפיה אדם מתכוון לתוצאות הטבעיות הנובעות ממעשיו. ""משמעותה של החזקה היא שבהיעדר ראיות לסתור ובהתקיים נסיבות חיצוניות מתאימות מוחזק המבצע כמי שמתקיימת בו הכוונה באופן שהוא צפה את התוצאה ורצה בה"" (ע""פ 228/01 כלב נ' מדינת ישראל פ""ד נז(5) 365, 376 (2003)). לצד חזקת הכוונה פותחו בפסיקה מבחני עזר שונים על מנת לסייע לבית המשפט להסיק האם התקיימה החלטה להמית וזאת על סמך מכלול הנסיבות האופפת את המעשה. בין המבחנים אותם ניתן למנות לעניין זה: הכלי ששימש לביצוע המעשה; אופן ביצוע המעשה; מספר הפגיעות ומקומן; אופי התקרית שהובילה למעשה וחילופי דברים שקדמו לו (ענייןכריכלי, פסקה 11).""
(וכן ראו בעניין זה- ע""פ 10110/03 גמליאל ואח' נ. מ""י,  ניתן ביום 11.12.2006, להלן: פרשת גמליאל; ע""פ 3151/08 יוסי דוידוב נ' מדינת ישראל, פסקה 20, ניתן ביום 26.5.2010; ע""פ 8200/11 פלוני נ' מדינת ישראל, פסקה 7, מיום 3.9.2012; ע""פ7894/03 ג'האד ג'אבר נ' מדינת ישראל, פסקות 37-36, ניתן ביום 18.2.2008).
ומן הכלל – לעניינו של הנאשם.","
ע""פ 3151/08 יוסי דוידוב נ' מדינת ישראל, פסקה 20, ניתן ביום 26.5.2010;",0,"ע""פ 9604/04",
