citation,context_text,extracted_text,predicted_label,extracted_citation,link
"ע""פ 5220/09","הערכים החברתיים המוגנים הנפגעים כתוצאה מעבירות של החזקת נשק ותחמושת הנם שלום הציבור ובטחונו. בתי המשפט עמדו לא אחת על חומרתן של עבירות הנשק, תוך הדגשת הסיכון הממשי לציבור הנובע מעבירות אלה. החזקת נשק על ידי אזרחים יוצרת מטבעה פוטנציאל להסלמה עבריינית או לפעילות עוינת. בהתאם להלכה הפסוקה, חומרת עבירות הנשק מחייבת מתן ביטוי עונשי הולם ומרתיע באמצעות הטלת עונשי מאסר בפועל, כשנסיבות אישיות נדחות בפני האינטרס הציבורי.
המדינה עותרת להחמרה משמעותית של הענישה בעבירות נשק, ואולם גם בעבר הרחוק, לדוגמא בע""פ 5220/09 עוואודה נ' מדינת ישראל (30.12.09) נקבע כי דרך המלך בעבירות נשק צריכה להיות ככלל מאסר מאחורי סורג ובריח.
פסיקת בית המשפט העליון מהשנים האחרונות הובילה במוצהר קו של החמרת ענישה בעבירות נשק, תוך התערבות בגזרי דין של ערכאות נמוכות יותר, אף בניגוד לכלל הנוהג לפיו ערכאת הערעור ממעטת להחמיר בענישה. גישה זו מבטאת את ההכרה בהתפשטותן המדאיגה של עבירות הנשק, בעליית רמת האלימות בחברה, ובסיכון הממשי לציבור, בשל השימוש התדיר בנשק לפתרון סכסוכים ולשם ביצוע עבירות.","המדינה עותרת להחמרה משמעותית של הענישה בעבירות נשק, ואולם גם בעבר הרחוק, לדוגמא בע""פ 5220/09 עוואודה נ' מדינת ישראל (30.12.09) נקבע כי דרך המלך בעבירות נשק צריכה להיות ככלל מאסר מאחורי סורג ובריח.",0,"ע""פ 5220/09",http://www.nevo.co.il/case/6000182
"ע""פ 4406/19","פסיקת בית המשפט העליון מהשנים האחרונות הובילה במוצהר קו של החמרת ענישה בעבירות נשק, תוך התערבות בגזרי דין של ערכאות נמוכות יותר, אף בניגוד לכלל הנוהג לפיו ערכאת הערעור ממעטת להחמיר בענישה. גישה זו מבטאת את ההכרה בהתפשטותן המדאיגה של עבירות הנשק, בעליית רמת האלימות בחברה, ובסיכון הממשי לציבור, בשל השימוש התדיר בנשק לפתרון סכסוכים ולשם ביצוע עבירות.
ראו לעניין זה את דברי ביהמ""ש העליון בע""פ 4406/19 מדינת ישראל נ' סובח (5.11.19, דברי כב' הש' אלרון, בפסקה 17):
""בית משפט זה לא נותר אדיש למול השימוש הגובר בנשק חם, והדגיש לא אחת את הצורך בענישה מחמירה ומרתיעה כלפי השימוש בו לשם פתרון סכסוכים. זאת במיוחד כאשר השימוש בו נעשה בסביבת בתי מגורים. כך למשל, בעניין עמאש צוין כי:","ראו לעניין זה את דברי ביהמ""ש העליון בע""פ 4406/19 מדינת ישראל נ' סובח (5.11.19, דברי כב' הש' אלרון, בפסקה 17):
""בית משפט זה לא נותר אדיש למול השימוש הגובר בנשק חם, והדגיש לא אחת את הצורך בענישה מחמירה ומרתיעה כלפי השימוש בו לשם פתרון סכסוכים. זאת במיוחד כאשר השימוש בו נעשה בסביבת בתי מגורים. כך למשל, בעניין עמאש צוין כי:",0,"ע""פ 4406/19",http://www.nevo.co.il/case/25824863
"ע""פ 32/14","""בית משפט זה לא נותר אדיש למול השימוש הגובר בנשק חם, והדגיש לא אחת את הצורך בענישה מחמירה ומרתיעה כלפי השימוש בו לשם פתרון סכסוכים. זאת במיוחד כאשר השימוש בו נעשה בסביבת בתי מגורים. כך למשל, בעניין עמאש צוין כי:
'רבות נאמר ונכתב על הרעה החולה הפוקדת את מקומותינו ומותירה חלל והרס, היא התופעה של שימוש בנשק חם ברחובה של עיר, גם בשל סכסוכים בעניינים של מה בכך. בית משפט זה חזר והתריע מפני התפשטות התופעה, וקבע באופן ברור כי יש להילחם בה ולמגרה באופן הנחרץ ביותר"" (ע""פ 32/14 עמאש נ' מדינת ישראל, [פורסם בנבו] בפסקה 20 (17.9.2015); ראו גם: ע""פ 4611/18 נאסר נ' מדינת ישראל, [פורסם בנבו] בפסקה 5 (10.3.2019); ע""פ 5015/15 מדינת ישראל נ' ריאן [פורסם בנבו] בפסקה 12 (29.3.2016)).
דברים אלו אף באו לידי ביטוי לאחרונה בדברי הנשיאה א' חיות בטקס פתיחת שנת המשפט הנוכחית של לשכת עורכי הדין בנצרת:","כך למשל, בעניין עמאש צוין כי:
'רבות נאמר ונכתב על הרעה החולה הפוקדת את מקומותינו ומותירה חלל והרס, היא התופעה של שימוש בנשק חם ברחובה של עיר, גם בשל סכסוכים בעניינים של מה בכך. בית משפט זה חזר והתריע מפני התפשטות התופעה, וקבע באופן ברור כי יש להילחם בה ולמגרה באופן הנחרץ ביותר"" (ע""פ 32/14 עמאש נ' מדינת ישראל, [פורסם בנבו] בפסקה 20 (17.9.2015))",0,"ע""פ 32/14",http://www.nevo.co.il/case/20291305
"ע""פ 4611/18","""בית משפט זה לא נותר אדיש למול השימוש הגובר בנשק חם, והדגיש לא אחת את הצורך בענישה מחמירה ומרתיעה כלפי השימוש בו לשם פתרון סכסוכים. זאת במיוחד כאשר השימוש בו נעשה בסביבת בתי מגורים. כך למשל, בעניין עמאש צוין כי:
'רבות נאמר ונכתב על הרעה החולה הפוקדת את מקומותינו ומותירה חלל והרס, היא התופעה של שימוש בנשק חם ברחובה של עיר, גם בשל סכסוכים בעניינים של מה בכך. בית משפט זה חזר והתריע מפני התפשטות התופעה, וקבע באופן ברור כי יש להילחם בה ולמגרה באופן הנחרץ ביותר"" (ע""פ 32/14 עמאש נ' מדינת ישראל, [פורסם בנבו] בפסקה 20 (17.9.2015); ראו גם: ע""פ 4611/18 נאסר נ' מדינת ישראל, [פורסם בנבו] בפסקה 5 (10.3.2019); ע""פ 5015/15 מדינת ישראל נ' ריאן [פורסם בנבו] בפסקה 12 (29.3.2016)).
דברים אלו אף באו לידי ביטוי לאחרונה בדברי הנשיאה א' חיות בטקס פתיחת שנת המשפט הנוכחית של לשכת עורכי הדין בנצרת:","ראו גם: ע""פ 4611/18 נאסר נ' מדינת ישראל, [פורסם בנבו] בפסקה 5 (10.3.2019)",0,"ע""פ 32/14",http://www.nevo.co.il/case/20291305
"ע""פ 5015/15","""בית משפט זה לא נותר אדיש למול השימוש הגובר בנשק חם, והדגיש לא אחת את הצורך בענישה מחמירה ומרתיעה כלפי השימוש בו לשם פתרון סכסוכים. זאת במיוחד כאשר השימוש בו נעשה בסביבת בתי מגורים. כך למשל, בעניין עמאש צוין כי:
'רבות נאמר ונכתב על הרעה החולה הפוקדת את מקומותינו ומותירה חלל והרס, היא התופעה של שימוש בנשק חם ברחובה של עיר, גם בשל סכסוכים בעניינים של מה בכך. בית משפט זה חזר והתריע מפני התפשטות התופעה, וקבע באופן ברור כי יש להילחם בה ולמגרה באופן הנחרץ ביותר"" (ע""פ 32/14 עמאש נ' מדינת ישראל, [פורסם בנבו] בפסקה 20 (17.9.2015); ראו גם: ע""פ 4611/18 נאסר נ' מדינת ישראל, [פורסם בנבו] בפסקה 5 (10.3.2019); ע""פ 5015/15 מדינת ישראל נ' ריאן [פורסם בנבו] בפסקה 12 (29.3.2016)).
דברים אלו אף באו לידי ביטוי לאחרונה בדברי הנשיאה א' חיות בטקס פתיחת שנת המשפט הנוכחית של לשכת עורכי הדין בנצרת:","(ע""פ 5015/15 מדינת ישראל נ' ריאן [פורסם בנבו] בפסקה 12 (29.3.2016))",0,"ע""פ 32/14",http://www.nevo.co.il/case/20291305
"עפ""ג (נצ') 21260-10-19","למעשי הנאשם ממד של פגיעה בערכים מוגנים של שלום הציבור וביטחונו, שכן לכל החזקת נשק בידי בלתי מורשה, פוטנציאל נזק עצום לפגיעה בשלמות גופו ובחייו של אדם.
בעפ""ג (נצ') 21260-10-19 מדינת ישראל נ' מוסא מזאריב (24.11.19) (להלן: ""עניין מזאריב"") קבע בית-המשפט המחוזי, בהתייחס למדרג החומרה בעבירות נשק ולשיקולים בקביעת מתחם העונש ההולם:
""נסיבות החזקת הנשק יכולות להשתנות וללמד על מידת החומרה והסיכון הפוטנציאלי לפגיעה באחרים. כפועל יוצא מכך, יש להן השלכה על המתחם שיקבע. בהקשר זה, לא דומה למשל החזקת אקדח להחזקתו של תת מקלע. הנחיית פרקליט המדינה אליה הפנתה המערערת מדברת על קריטריונים רלוונטיים להבחנה בנסיבות הקונקרטיות של כל מקרה, כמו מאפייני הנשק, ריבוי כלי נשק, היות הנשק טעון, המיקום הספציפי בו הוחזק, הרקע להחזקתו ומטרתו. אלה הם רק חלק מן הנסיבות שניתן וצריך לשקול בקביעת המתחם בהתייחס לנסיבות הכרוכות בביצוע העבירה...","בעפ""ג (נצ') 21260-10-19 מדינת ישראל נ' מוסא מזאריב (24.11.19) (להלן: ""עניין מזאריב"") קבע בית-המשפט המחוזי, בהתייחס למדרג החומרה בעבירות נשק ולשיקולים בקביעת מתחם העונש ההולם:
""נסיבות החזקת הנשק יכולות להשתנות וללמד על מידת החומרה והסיכון הפוטנציאלי לפגיעה באחרים. כפועל יוצא מכך, יש להן השלכה על המתחם שיקבע. בהקשר זה, לא דומה למשל החזקת אקדח להחזקתו של תת מקלע. הנחיית פרקליט המדינה אליה הפנתה המערערת מדברת על קריטריונים רלוונטיים להבחנה בנסיבות הקונקרטיות של כל מקרה, כמו מאפייני הנשק, ריבוי כלי נשק, היות הנשק טעון, המיקום הספציפי בו הוחזק, הרקע להחזקתו ומטרתו. אלה הם רק חלק מן הנסיבות שניתן וצריך לשקול בקביעת המתחם בהתייחס לנסיבות הכרוכות בביצוע העבירה...",0,"עפ""ג (נצ') 21260-10-19",http://www.nevo.co.il/case/26103748
"ת""פ (עכו) 35119-06-20","15.	ב""כ המאשימה הפנה לפסקי-הדין הבאים:
ת""פ (עכו) 35119-06-20 מדינת ישראל נ' חסארמה (17.11.20) – הנאשם הורשע בעבירות של החזקת נשק, החזקת תחמושת, הפרעה לשוטר במילוי תפקידו, ניסיון שיבוש מהלכי משפט ושיבוש מהלכי משפט. כאשר שוטרים הגיעו לחיפוש בביתו ניסה לברוח ולא נענה להוראות השוטרים. בביתו נמצא אקדח, ובו מחסנית טעונה בששה כדורים. נקבע מתחם עונש הולם הנע בין 12 ל-36 חודשי מאסר בפועל, ונקבע כי העבירה של החזקת נשק כשבו מחסנית טעונה כדורים, ערוך ומוכן להפעלה, הנה בגדר עבירת אלימות לצורך הפעלת עונש מאסר על-תנאי קודם בעבירות אלימות. הוטלו 14 חודשי מאסר בפועל, הופעל עונש מאסר על-תנאי קודם בן עשרה חודשים, חלקו בחופף וחלקו במצטבר כך שסך הכל ירצה הנאשם 20 חודשי מאסר בפועל, וכן הוטלו מאסרים על-תנאי והתחייבות כספית בסך 10,000 ₪.
עפ""ג (חי') 23517-02-20 מדינת ישראל נ' אלכילאני (28.7.20) – בית-המשפט המחוזי דן בערעור המדינה על קולת עונשו של המשיב, אשר נדון לשמונה חודשי מאסר לריצוי בעבודות שירות, מאסר על-תנאי וקנס בסך 3,000 ₪, בעבירות של החזקת נשק והחזקת תחמושת. בית-המשפט המחוזי קבע כי גזר-הדין אינו נותן ביטוי נאות ונדרש לחומרה הטמונה בעבירות הנשק, ומחייב התערבות. בפסק-הדין צוין כי קיים מנעד רחב של פסיקה באשר לענישה בעבירות החזקת נשק, כאשר מחד קיימת פסיקה שבה הסתפקו בתי המשפט בהטלת עונש מאסר לריצוי בעבודות שירות, ומאידך, קיימת פסיקה בה עמדו בתי המשפט על כך שלא ניתן להימנע בעבירה מסוג זה להטיל על הנאשם עונש של מאסר בפועל לריצוי מאחורי סורג ובריח. עוד צוין, כי מגמת ההחמרה ניכרת במיוחד בפסיקה מן התקופה האחרונה, ובאה לידי ביטוי בכך שהרף התחתון של מתחם הענישה, גם כאשר הנאשם נעדר עבר פלילי, עולה על תשעה חודשי מאסר ואינו מאפשר ריצוי עונש המאסר על דרך של עבודות שירות.","ת""פ (עכו) 35119-06-20 מדינת ישראל נ' חסארמה (17.11.20) – הנאשם הורשע בעבירות של החזקת נשק, החזקת תחמושת, הפרעה לשוטר במילוי תפקידו, ניסיון שיבוש מהלכי משפט ושיבוש מהלכי משפט. כאשר שוטרים הגיעו לחיפוש בביתו ניסה לברוח ולא נענה להוראות השוטרים. בביתו נמצא אקדח, ובו מחסנית טעונה בששה כדורים. נקבע מתחם עונש הולם הנע בין 12 ל-36 חודשי מאסר בפועל, ונקבע כי העבירה של החזקת נשק כשבו מחסנית טעונה כדורים, ערוך ומוכן להפעלה, הנה בגדר עבירת אלימות לצורך הפעלת עונש מאסר על-תנאי קודם בעבירות אלימות. הוטלו 14 חודשי מאסר בפועל, הופעל עונש מאסר על-תנאי קודם בן עשרה חודשים, חלקו בחופף וחלקו במצטבר כך שסך הכל ירצה הנאשם 20 חודשי מאסר בפועל, וכן הוטלו מאסרים על-תנאי והתחייבות כספית בסך 10,000 ₪.",1,"ת""פ (עכו) 35119-06-20",http://www.nevo.co.il/case/26757745
"עפ""ג (חי') 23517-02-20","ת""פ (עכו) 35119-06-20 מדינת ישראל נ' חסארמה (17.11.20) – הנאשם הורשע בעבירות של החזקת נשק, החזקת תחמושת, הפרעה לשוטר במילוי תפקידו, ניסיון שיבוש מהלכי משפט ושיבוש מהלכי משפט. כאשר שוטרים הגיעו לחיפוש בביתו ניסה לברוח ולא נענה להוראות השוטרים. בביתו נמצא אקדח, ובו מחסנית טעונה בששה כדורים. נקבע מתחם עונש הולם הנע בין 12 ל-36 חודשי מאסר בפועל, ונקבע כי העבירה של החזקת נשק כשבו מחסנית טעונה כדורים, ערוך ומוכן להפעלה, הנה בגדר עבירת אלימות לצורך הפעלת עונש מאסר על-תנאי קודם בעבירות אלימות. הוטלו 14 חודשי מאסר בפועל, הופעל עונש מאסר על-תנאי קודם בן עשרה חודשים, חלקו בחופף וחלקו במצטבר כך שסך הכל ירצה הנאשם 20 חודשי מאסר בפועל, וכן הוטלו מאסרים על-תנאי והתחייבות כספית בסך 10,000 ₪.
עפ""ג (חי') 23517-02-20 מדינת ישראל נ' אלכילאני (28.7.20) – בית-המשפט המחוזי דן בערעור המדינה על קולת עונשו של המשיב, אשר נדון לשמונה חודשי מאסר לריצוי בעבודות שירות, מאסר על-תנאי וקנס בסך 3,000 ₪, בעבירות של החזקת נשק והחזקת תחמושת. בית-המשפט המחוזי קבע כי גזר-הדין אינו נותן ביטוי נאות ונדרש לחומרה הטמונה בעבירות הנשק, ומחייב התערבות. בפסק-הדין צוין כי קיים מנעד רחב של פסיקה באשר לענישה בעבירות החזקת נשק, כאשר מחד קיימת פסיקה שבה הסתפקו בתי המשפט בהטלת עונש מאסר לריצוי בעבודות שירות, ומאידך, קיימת פסיקה בה עמדו בתי המשפט על כך שלא ניתן להימנע בעבירה מסוג זה להטיל על הנאשם עונש של מאסר בפועל לריצוי מאחורי סורג ובריח. עוד צוין, כי מגמת ההחמרה ניכרת במיוחד בפסיקה מן התקופה האחרונה, ובאה לידי ביטוי בכך שהרף התחתון של מתחם הענישה, גם כאשר הנאשם נעדר עבר פלילי, עולה על תשעה חודשי מאסר ואינו מאפשר ריצוי עונש המאסר על דרך של עבודות שירות.
בית-המשפט המחוזי סיכם וקבע כי גזר הדין שהסתפק בהטלת שמונה חודשי מאסר בעבודות שירות אינו יכול לעמוד, בשים לב לחומרת העבירה, הפיכתה ל""מכת מדינה"" ופוטנציאל הנזק הטמון בה, ובשים לב למגמת ההחמרה בפסיקה.","עפ""ג (חי') 23517-02-20 מדינת ישראל נ' אלכילני (28.7.20) – בית-המשפט המחוזי דן בערעור המדינה על קולת עונשו של המשיב, אשר נדון לשמונה חודשי מאסר לריצוי בעבודות שירות, מאסר על-תנאי וקנס בסך 3,000 ₪, בעבירות של החזקת נשק והחזקת תחמושת. בית-המשפט המחוזי קבע כי גזר-הדין אינו נותן ביטוי נאות ונדרש לחומרה הטמונה בעבירות הנשק, ומחייב התערבות. בפסק-הדין צוין כי קיים מנעד רחב של פסיקה באשר לענישה בעבירות החזקת נשק, כאשר מחד קיימת פסיקה שבה הסתפקו בתי המשפט בהטלת עונש מאסר לריצוי בעבודות שירות, ומאידך, קיימת פסיקה בה עמדו בתי המשפט על כך שלא ניתן להימנע בעבירה מסוג זה להטיל על הנאשם עונש של מאסר בפועל לריצוי מאחורי סורג ובריח. עוד צוין, כי מגמת ההחמרה ניכרת במיוחד בפסיקה מן התקופה האחרונה, ובאה לידי ביטוי בכך שהרף התחתון של מתחם הענישה, גם כאשר הנאשם נעדר עבר פלילי, עולה על תשעה חודשי מאסר ואינו מאפשר ריצוי עונש המאסר על דרך של עבודות שירות.
בית-המשפט המחוזי סיכם וקבע כי גזר הדין שהסתפק בהטלת שמונה חודשי מאסר בעבודות שירות אינו יכול לעמוד, בשים לב לחומרת העבירה, הפיכתה ל""מכת מדינה"" ופוטנציאל הנזק הטמון בה, ובשים לב למגמת ההחמרה בפסיקה.",1,"ת""פ (עכו) 35119-06-20",http://www.nevo.co.il/case/26757745
"ת""פ (ב""ש) 65912-01-18","בהעדר אינדיקציה לחריגה ממתחם העונש ההולם, ובהעדר המלצה טיפולית מאת שירות המבחן, העמיד את עונשו של המשיב על עשרה חודשי מאסר בפועל.
ת""פ (ב""ש) 65912-01-18 מדינת ישראל נ' אבו מדע'ם (14.2.19) – שני הנאשמים הורשעו בעבירות של החזקת נשק ותחמושת שלא כדין, לאחר שהחזיקו באקדחים, בכלי נשק נוספים ובתחמושת בביתם. נקבע מתחם עונש הולם הנע בין 15 ל-24 חודשי מאסר ביחס לנאשם 1 (שהחזיק נשק אחד), ומתחם הנע בין 27 ל-54 חודשי מאסר ביחס לנאשם 2 (שהחזיק שלושה כלי נשק). נקבע, בין היתר, כי השאלה אם כלי הנשק נמצאו או נרכשו, אינה מעלה ואינה מורידה, ביחס למידת הסיכון ופוטנציאל הנזק הנובעים מהם. על נאשם 1 הוטלו 18 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 10,000 ₪. על נאשם 2 הוטלו 30 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 25,000 ₪.
רע""פ 6265/20 אבו אלקיעאן נ' מדינת ישראל (15.9.20) – המבקש הורשע, לאחר ניהול הוכחות, בעבירה של החזקת נשק לאחר שנמצא מחזיק באקדח מתחת לכסא הנהג ברכבו, בצירוף מחסנית ובה כדורים. בית-משפט השלום קבע מתחם עונש הולם הנע בין 15 ל-30 חודשי מאסר בפועל, והטיל על המבקש עונש המצוי בתחתית מתחם העונש ההולם אותו קבע – 15 חודשי מאסר בפועל, מאסרים מותנים וקנס בסך 10,000 ₪. בהמשך הורה בית-המשפט על חילוט רכבו של המבקש בשווי של כ-30,000 ₪. ערר שהגיש המבקש לבית-המשפט המחוזי התקבל, חלקית, ובהינתן נסיבותיו האישיות של המבקש, קבע כי עונש המאסר יעמוד על 12 חודשי מאסר בפועל, לצד העונשים הנלווים שנקבעו. בקשת רשות הערעור שהגיש לבית-המשפט העליון נדחתה.","ת""פ (ב""ש) 65912-01-18 מדינת ישראל נ' אבו מדע'ם (14.2.19) – שני הנאשמים הורשעו בעבירות של החזקת נשק ותחמושת שלא כדין, לאחר שהחזיקו באקדחים, בכלי נשק נוספים ובתחמושת בביתם. נקבע מתחם עונש הולם הנע בין 15 ל-24 חודשי מאסר ביחס לנאשם 1 (שהחזיק נשק אחד), ומתחם הנע בין 27 ל-54 חודשי מאסר ביחס לנאשם 2 (שהחזיק שלושה כלי נשק). נקבע, בין היתר, כי השאלה אם כלי הנשק נמצאו או נרכשו, אינה מעלה ואינה מורידה, ביחס למידת הסיכון ופוטנציאל הנזק הנובעים מהם. על נאשם 1 הוטלו 18 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 10,000 ₪. על נאשם 2 הוטלו 30 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 25,000 ₪.",1,"ת""פ (ב""ש) 65912-01-18",http://www.nevo.co.il/case/23588441
"ר ע""פ 6265/20","ת""פ (ב""ש) 65912-01-18 מדינת ישראל נ' אבו מדע'ם (14.2.19) – שני הנאשמים הורשעו בעבירות של החזקת נשק ותחמושת שלא כדין, לאחר שהחזיקו באקדחים, בכלי נשק נוספים ובתחמושת בביתם. נקבע מתחם עונש הולם הנע בין 15 ל-24 חודשי מאסר ביחס לנאשם 1 (שהחזיק נשק אחד), ומתחם הנע בין 27 ל-54 חודשי מאסר ביחס לנאשם 2 (שהחזיק שלושה כלי נשק). נקבע, בין היתר, כי השאלה אם כלי הנשק נמצאו או נרכשו, אינה מעלה ואינה מורידה, ביחס למידת הסיכון ופוטנציאל הנזק הנובעים מהם. על נאשם 1 הוטלו 18 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 10,000 ₪. על נאשם 2 הוטלו 30 חודשי מאסר בפועל, מאסרים על-תנאי וקנס בסך 25,000 ₪.
רע""פ 6265/20 אבו אלקיעאן נ' מדינת ישראל (15.9.20) – המבקש הורשע, לאחר ניהול הוכחות, בעבירה של החזקת נשק לאחר שנמצא מחזיק באקדח מתחת לכסא הנהג ברכבו, בצירוף מחסנית ובה כדורים. בית-משפט השלום קבע מתחם עונש הולם הנע בין 15 ל-30 חודשי מאסר בפועל, והטיל על המבקש עונש המצוי בתחתית מתחם העונש ההולם אותו קבע – 15 חודשי מאסר בפועל, מאסרים מותנים וקנס בסך 10,000 ₪. בהמשך הורה בית-המשפט על חילוט רכבו של המבקש בשווי של כ-30,000 ₪. ערר שהגיש המבקש לבית-המשפט המחוזי התקבל, חלקית, ובהינתן נסיבותיו האישיות של המבקש, קבע כי עונש המאסר יעמוד על 12 חודשי מאסר בפועל, לצד העונשים הנלווים שנקבעו. בקשת רשות הערעור שהגיש לבית-המשפט העליון נדחתה.
ת""פ (כ""ס) 14044-03-20 מדינת ישראל נ' קטאווי (15.12.20) – הנאשם הורשע, לפי הודאתו, בהחזקת נשק, לאחר שהחזיק בתת מקלע מאולתר מסוג ""קרלו"", עטוף ומוסלק במשאית שעמדה בסמוך לביתו, ובמחסנית תואמת ובה 11 כדורים. נקבע מתחם עונש הולם הנע בין 15 ל-36 חודשי מאסר בפועל, והוטלו 20 חודשי מאסר, הופעל מאסר על-תנאי בן 8 חודשים, חלקו בחופף וחלקו במצטבר כך שסה""כ ירצה הנאשם 26 חודשי מאסר בפועל, ומאסר על-תנאי.","רע""פ 6265/20 אבו אלקיעאן נ' מדינת ישראל (15.9.20) – המבקש הורשע, לאחר ניהול הוכחות, בעבירה של החזקת נשק לאחר שנמצא מחזיק באקדח מתחת לכסא הנהג ברכבו, בצירוף מחסנית ובה כדורים. בית-משפט השלום קבע מתחם עונש הולם הנע בין 15 ל-30 חודשי מאסר בפועל, והטיל על המבקש עונש המצוי בתחתית מתחם העונש ההולם אותו קבע – 15 חודשי מאסר בפועל, מאסרים מותנים וקנס בסך 10,000 ₪. בהמשך הורה בית-המשפט על חילוט רכבו של המבקש בשווי של כ-30,000 ₪. ערר שהגיש המבקש לבית-המשפט המחוזי התקבל, חלקית, ובהינתן נסיבותיו האישיות של המבקש, קבע כי עונש המאסר יעמוד על 12 חודשי מאסר בפועל, לצד העונשים הנלווים שנקבעו. בקשת רשות הערעור שהגיש לבית-המשפט העליון נדחתה.",1,"ת""פ (ב""ש) 65912-01-18",http://www.nevo.co.il/case/23588441
