citation,context_text,extracted_text,predicted_label,extracted_citation,link
"ע""פ 7637/05","בהכרעת הדין התייחסנו להשפעת התיקון הנ""ל בענייננו ונקבע שאין בתיקון כדי להקל עם הנאשם (פסקאות 576 ו- 807 עד 812 להכרעת הדין).
קביעת עונש מאסר עולם חובה על ידי המחוקק בעבירת הרצח שבה הורשע הנאשם לפי סעיף 300(א)(4) לחוק העונשין, טרם תיקון 137 לחוק, למעשה הביאה לידי ביטוי את עצמת הערכים החברתיים בהם פגע הנאשם, חשיבותם ועליונותם, כך שאין לבית המשפט שיקול דעת בעניין קביעת מידת העונש למי שהורשע בעבירה זו. רק נזכיר שלקדושת חיי האדם, מטבעה, שמור מקום בשורה הראשונה של ערכי כל חברה אנושית (ע""פ 7637/05 יוסף נ' מדינת ישראל (5.7.07)).
לאור זאת, אין מקום להידרש לשאלת מתחם הענישה.","רק נזכיר שלקדושת חיי האדם, מטבעה, שמור מקום בשורה הראשונה של ערכי כל חברה אנושית (ע""פ 7637/05 יוסף נ' מדינת ישראל (5.7.07)).",0,"ע""פ 7637/05",http://www.nevo.co.il/case/6002494
"ע""פ 1261/15","בהתאם לפסיקת בית המשפט העליון, נקבעו מספר מבחני עזר לבחינת השאלה האם מדובר באירוע אחד או במספר אירועים:
""כדי לעמוד על עוצמת הקשר שבין העבירות שׂוּמה על בית המשפט לעמוד על נסיבותיו העובדתיות של העניין שלפניו, ולבחון אם יש בהן כדי להצביע על קשר הדוק בין העבירות. נסיבות עובדתיות אלה מהוות 'מבחני עזר' לקביעת עוצמת הקשר. במסגרת זו ניתן לבחון, למשל, האם ביצוען של העבירות מאופיין בתכנון; האם ניתן להצביע על שיטתיות בביצוע העבירות; האם העבירות התרחשו בסמיכות של זמן או מקום; האם ביצועה של עבירה אחת נועד לאפשר את ביצועה של העבירה האחרת או את ההימלטות לאחר ביצועה, וכיוצא באלו נסיבות עובדתיות. קיומה של נסיבה אחת או יותר מנסיבות אלו (ואין זו רשימה סגורה) עשוי להעיד על קשר הדוק בין העבירות השונות, המלמד כי באירוע אחד עסקינן. בבחינת הנסיבות העובדתיות, מן ההכרח לבית המשפט להעמיד לנגד עיניו את השאלה האם השקפה על העבירות כעל כמה אירועים תהא מלאכותית, באופן שיגרע ממהות העניין בכללותו, או שלא ישקף את סיפור המעשה כהווייתו"" )ע""פ 1261/15  מדינת ישראל נ' יוסף דלאל (3.9.2015) בפסקה 22 לפסק הדין; וכן ראו ע""פ 4910/13 ג'אבר נ' מדינת ישראל (29.10.2014)).
בעניינו של הנאשם, הפגיעה במנוח, באמו ובאדם נעשתה בסמיכות זמן ומקום, וביצוע העבירות כלפי המנוח ואמו נועד לאפשר את ביצוע הפגיעה באדם וההימלטות לאחר ביצועה.  לאור האמור, נראה כי מדובר באירוע אחד.","""כדי לעמוד על עוצמת הקשר שבין העבירות שׂוּמה על בית המשפט לעמוד על נסיבותיו העובדתיות של העניין שלפניו, ולבחון אם יש בהן כדי להצביע על קשר הדוק בין העבירות. נסיבות עובדתיות אלה מהוות 'מבחני עזר' לקביעת עוצמת הקשר. במסגרת זו ניתן לבחון, למשל, האם ביצוען של העבירות מאופיין בתכנון; האם ניתן להצביע על שיטתיות בביצוע העבירות; האם העבירות התרחשו בסמיכות של זמן או מקום; האם ביצועה של עבירה אחת נועד לאפשר את ביצועה של העבירה האחרת או את ההימלטות לאחר ביצועה, וכיוצא באלו נסיבות עובדתיות. קיומה של נסיבה אחת או יותר מנסיבות אלו (ואין זו רשימה סגורה) עשוי להעיד על קשר הדוק בין העבירות השונות, המלמד כי באירוע אחד עסקינן. בבחינת הנסיבות העובדתיות, מן ההכרח לבית המשפט להעמיד לנגד עיניו את השאלה האם השקפה על העבירות כעל כמה אירועים תהא מלאכותית, באופן שיגרע ממהות העניין בכללותו, או שלא ישקף את סיפור המעשה כהווייתו"" )ע""פ 1261/15  מדינת ישראל נ' יוסף דלאל (3.9.2015) בפסקה 22 לפסק הדין;",0,"ע""פ 1261/15",http://www.nevo.co.il/case/20033641
"ע""פ 4910/13","בהתאם לפסיקת בית המשפט העליון, נקבעו מספר מבחני עזר לבחינת השאלה האם מדובר באירוע אחד או במספר אירועים:
""כדי לעמוד על עוצמת הקשר שבין העבירות שׂוּמה על בית המשפט לעמוד על נסיבותיו העובדתיות של העניין שלפניו, ולבחון אם יש בהן כדי להצביע על קשר הדוק בין העבירות. נסיבות עובדתיות אלה מהוות 'מבחני עזר' לקביעת עוצמת הקשר. במסגרת זו ניתן לבחון, למשל, האם ביצוען של העבירות מאופיין בתכנון; האם ניתן להצביע על שיטתיות בביצוע העבירות; האם העבירות התרחשו בסמיכות של זמן או מקום; האם ביצועה של עבירה אחת נועד לאפשר את ביצועה של העבירה האחרת או את ההימלטות לאחר ביצועה, וכיוצא באלו נסיבות עובדתיות. קיומה של נסיבה אחת או יותר מנסיבות אלו (ואין זו רשימה סגורה) עשוי להעיד על קשר הדוק בין העבירות השונות, המלמד כי באירוע אחד עסקינן. בבחינת הנסיבות העובדתיות, מן ההכרח לבית המשפט להעמיד לנגד עיניו את השאלה האם השקפה על העבירות כעל כמה אירועים תהא מלאכותית, באופן שיגרע ממהות העניין בכללותו, או שלא ישקף את סיפור המעשה כהווייתו"" )ע""פ 1261/15  מדינת ישראל נ' יוסף דלאל (3.9.2015) בפסקה 22 לפסק הדין; וכן ראו ע""פ 4910/13 ג'אבר נ' מדינת ישראל (29.10.2014)).
בעניינו של הנאשם, הפגיעה במנוח, באמו ובאדם נעשתה בסמיכות זמן ומקום, וביצוע העבירות כלפי המנוח ואמו נועד לאפשר את ביצוע הפגיעה באדם וההימלטות לאחר ביצועה.  לאור האמור, נראה כי מדובר באירוע אחד.","וכן ראו ע""פ 4910/13 ג'אבר נ' מדינת ישראל (29.10.2014)",0,"ע""פ 1261/15",http://www.nevo.co.il/case/20033641
"ע""פ 4372/13","אשר לערכים החברתיים המוגנים שנפגעו כתוצאה ממעשי הנאשם, בעבירות בגינן הורשע לבד מעבירת הרצח, כפי שציינה המאשימה בטיעוניה, הנאשם פגע בערך קדושת החיים, שלמות הגוף והגנה על שלומו ובטחונו של כל אדם. על חומרת העבירות שבהן הורשע הנאשם ניתן ללמוד גם מהעונש הקבוע לצדן, עונש של 20 שנות מאסר לצד עבירת ניסיון הרצח ולצד עבירת החבלה בכוונה מחמירה.
כבר נקבע שעבירת ניסיון הרצח היא עבירה מהחמורות שבספר החוקים והניסיון לקפד את חייו של אדם ולפגוע בערך העליון של קדושת החיים מחייבת גישה מחמירה והולמת ויש לתת את משקל הבכורה לשיקולי הגמול וההרתעה באופן שתושת ענישה לתקופה ממושכת, לשנים ארוכות (ע""פ 4372/13 סיסא נ' מדינת ישראל (6.8.14)).
ועוד נאמר,","כבר נקבע שעבירת ניסיון הרצח היא עבירה מהחמורות שבספר החוקים והניסיון לקפד את חייו של אדם ולפגוע בערך העליון של קדושת החיים מחייבת גישה מחמירה והולמת ויש לתת את משקל הבכורה לשיקולי הגמול וההרתעה באופן שתושת ענישה לתקופה ממושכת, לשנים ארוכות (ע""פ 4372/13 סיסא נ' מדינת ישראל (6.8.14)).",0,"ע""פ 4372/13",http://www.nevo.co.il/case/7680922
"ע""פ 3545/18","ועוד נאמר,
""מנקודת מבט מוסרית ומשפטית, יש לתת ביטוי לערך קדושת החיים, ... גם בגזירת העונש המתאים. על העונש להיקבע מתוך ההבנה הבסיסית כי כל אדם הוא עולם ומלואו, ופגיעה בו היא, כשלעצמה, מעשה חמור מאין כמותו"" (ע""פ 3545/18 קיקס נ' מדינת ישראל, בפסקה 5 (24.2.19), וכן ראו ע""פ 3617/13 טייטל נ' מדינת ישראל, בפסקה 66 (‏28.6.2016)).
בענייננו, מידת הפגיעה בערכים חברתיים זועקת בחומרתה. הנאשם תכנן בקור רוח לרצוח את אדם, הצטייד בנשק, ארב לאדם ונהג באכזריות כאשר חזר למסיבת יום ההולדת שנערכה לכבוד המנוח, תוך זלזול בוטה בחיי אדם והתעלמות מוחלטת מכך שהעמיד בסיכון ממשי את באי המסיבה ומי שנכח באותה זירה. הנאשם היה מרוכז במימוש כוונותיו כשהוא נוהג באלימות אכזרית וחסרת מעצורים.","""מנקודת מבט מוסרית ומשפטית, יש לתת ביטוי לערך קדושת החיים, ... גם בגזירת העונש המתאים. על העונש להיקבע מתוך ההבנה הבסיסית כי כל אדם הוא עולם ומלואו, ופגיעה בו היא, כשלעצמה, מעשה חמור מאין כמותו"" (ע""פ 3545/18 קיקס נ' מדינת ישראל, בפסקה 5 (24.2.19))",0,"ע""פ 3545/18",http://www.nevo.co.il/case/24152609
"ע""פ 3617/13","ועוד נאמר,
""מנקודת מבט מוסרית ומשפטית, יש לתת ביטוי לערך קדושת החיים, ... גם בגזירת העונש המתאים. על העונש להיקבע מתוך ההבנה הבסיסית כי כל אדם הוא עולם ומלואו, ופגיעה בו היא, כשלעצמה, מעשה חמור מאין כמותו"" (ע""פ 3545/18 קיקס נ' מדינת ישראל, בפסקה 5 (24.2.19), וכן ראו ע""פ 3617/13 טייטל נ' מדינת ישראל, בפסקה 66 (‏28.6.2016)).
בענייננו, מידת הפגיעה בערכים חברתיים זועקת בחומרתה. הנאשם תכנן בקור רוח לרצוח את אדם, הצטייד בנשק, ארב לאדם ונהג באכזריות כאשר חזר למסיבת יום ההולדת שנערכה לכבוד המנוח, תוך זלזול בוטה בחיי אדם והתעלמות מוחלטת מכך שהעמיד בסיכון ממשי את באי המסיבה ומי שנכח באותה זירה. הנאשם היה מרוכז במימוש כוונותיו כשהוא נוהג באלימות אכזרית וחסרת מעצורים.","ראו ע""פ 3617/13 טייטל נ' מדינת ישראל, בפסקה 66 (‏28.6.2016)",0,"ע""פ 3545/18",http://www.nevo.co.il/case/24152609
"ע""פ 9201/18","במכלול נסיבות אלה ובאיזון שבין השקולים השונים נראה כי יש למקם את עונשו של הנאשם ברף הגבוה של מתחם הענישה.
אשר לשאלת צבירת העונשים, הכלל הוא שעבירת רצח, אליה נוספו עבירות נלוות, חומרת העבירה מצדיקה הטלת עונשי מאסר במצטבר. העונש שהולם מעשים שהביאו לנטילת חיים של קרבן אחד ולניסיון קטילת  חיי קורבן נוסף כמו גם חבלה חמורה בקורבן שלישי אינו יכול להיות אותו עונש שהולם נטילת חייו של אדם אחד בלבד. כל אדם הוא עולם במלואו (ע""פ 9201/18 גורבאן נ' מדינת ישראל (8.6.22)).
לאור זאת, הגם שאין מקום לחפוף בין העונשים שיוטלו על הנאשם בגין העבירות השונות, נורה על חפיפה מסוימת ובכך להביא לידי ביטוי את טענות ב""כ הנאשם כמפורט לעיל.
עוד נציין שכאמור בחוק, מדיניות הענישה מהווה רק את אחד מהשיקולים בקביעת מתחם העונש הראוי לצד ההתחשבות בערכים החברתיים שנפגעו ממעשי הנאשם, מידת הפגיעה בהם ונסיבות ביצוע העבירות.
בע""פ 9201/18 גורבאן נ' מדינת ישראל (8.6.22) אישר בית המשפט העליון עונש מצטבר של 30 חודשי מאסר בגין עבירה של  פציעה בנסיבות מחמירות לעונש מאסר עולם בשל עבירת רצח. בנוסף, הוטלו 20 חודשי מאסר בגין העבירות בנשק ועונש ו-18 חודשי מאסר בפועל בשל העבירה של שיבוש מהלכי משפט, וזאת כשעונשים אלה ירוצו בחופף לעונש המאסר. בנוסף, הופעל עונש מאסר מותנה שהיה תלוי ועומד כנגד הנאשם, במצטבר.
המערער הורשע, לאחר שמיעת הראיות, בעבירות של רצח בכוונה תחילה, פציעה בנסיבות מחמירות, עבירות בנשק ושיבוש מהלכי משפט. המערער הגיע לבית קפה שבו ישב המנוח ופתח באש מאקדחו לפחות 19 קליעים, 4 מהם פגעו במנוח שמת מפצעיו. עוברת אורח שהלכה ברחוב סמוך נפגעה מפצע ירי שטחי.","כל אדם הוא עולם במלואו (ע""פ 9201/18 גורבאן נ' מדינת ישראל (8.6.22)).
...
בע""פ 9201/18 גורבאן נ' מדינת ישראל (8.6.22) אישר בית המשפט העליון עונש מצטבר של 30 חודשי מאסר בגין עבירה של  פציעה בנסיבות מחמירות לעונש מאסר עולם בשל עבירת רצח. בנוסף, הוטלו 20 חודשי מאסר בגין העבירות בנשק ועונש ו-18 חודשי מאסר בפועל בשל העבירה של שיבוש מהלכי משפט, וזאת כשעונשים אלה ירוצו בחופף לעונש המאסר. בנוסף, הופעל עונש מאסר מותנה שהיה תלוי ועומד כנגד הנאשם, במצטבר.",1,"ע""פ 9201/18",http://www.nevo.co.il/case/25274374
"ע""פ 7473/20","המערער הורשע, לאחר שמיעת הראיות, בעבירות של רצח בכוונה תחילה, פציעה בנסיבות מחמירות, עבירות בנשק ושיבוש מהלכי משפט. המערער הגיע לבית קפה שבו ישב המנוח ופתח באש מאקדחו לפחות 19 קליעים, 4 מהם פגעו במנוח שמת מפצעיו. עוברת אורח שהלכה ברחוב סמוך נפגעה מפצע ירי שטחי.
בע""פ 7473/20 מדינת ישראל נ' מחאמיד (29.6.21), אליו הופנינו על ידי ההגנה, החמיר בית המשפט העליון בעונשו של המערער (המשיב שכנגד) והעמידו על 8 שנות מאסר חלף 6.5 שנות מאסר שהוטלו עליו בבית המשפט המחוזי. המערער הורשע בעבירות של חבלה בכוונה מחמירה, נשיאה והובלה של נשק שלא כדין וירי מנשק חם באזור מגורים באופן שיש בו כדי לסכן חיי אדם. בעניין זה דובר במערער שבעת ביצוע העבירות טרם מלאו לו 21 שנים, נטול עבר פלילי וכן צוין שהמשיב החל בהליך שיקום בכלא. בית המשפט העליון הדגיש שאין ערכאת הערעור ממצה את הדין.
בעקבות הירי המתלונן אושפז כשהוא מורדם ומונשם. נגרמו לו נזקים שונים, בהם פצעי ירי בצוואר, בריאה ובבית חזה, נזק לשורשי שתי חוליות, חולשה בידו והגבלת תנועה בכתף.","בע""פ 7473/20 מדינת ישראל נ' מחאמיד (29.6.21), אליו הופנינו על ידי ההגנה, החמיר בית המשפט העליון בעונשו של המערער (המשיב שכנגד) והעמידו על 8 שנות מאסר חלף 6.5 שנות מאסר שהוטלו עליו בבית המשפט המחוזי. המערער הורשע בעבירות של חבלה בכוונה מחמירה, נשיאה והובלה של נשק שלא כדין וירי מנשק חם באזור מגורים באופן שיש בו כדי לסכן חיי אדם. בעניין זה דובר במערער שבעת ביצוע העבירות טרם מלאו לו 21 שנים, נטול עבר פלילי וכן צוין שהמשיב החל בהליך שיקום בכלא. בית המשפט העליון הדגיש שאין ערכאת הערעור ממצה את הדין.",1,"ע""פ 7473/20",http://www.nevo.co.il/case/27115374
"תפ""ח 11459-10-09","בעקבות הירי המתלונן אושפז כשהוא מורדם ומונשם. נגרמו לו נזקים שונים, בהם פצעי ירי בצוואר, בריאה ובבית חזה, נזק לשורשי שתי חוליות, חולשה בידו והגבלת תנועה בכתף.
בתפ""ח 11459-10-09 מדינת ישראל נ' חזיזה (13.11.11), אליו הופנינו על ידי המאשימה, נדון עניינו של נאשם שהורשע בעבירות של רצח וניסיון רצח. הנאשם נדון למאסר עולם בגין עבירת הרצח ו-20 שנות מאסר בגין עבירת ניסיון הרצח מחציתו במצטבר למאסר העולם וחציו בחופף. הנאשם החליט להביא למותו של המתלונן לאחר שהמתלונן עירב אדם אחר בסכסוך כספי שבין הנאשם לחברו של המתלונן. הנאשם פסע לכיוון המתלונן בשעת ערב בעיר והחל לירות לעברו. המתלונן, שנפגע כבר בשלב זה, ניסה להימלט בריצה בעוד הנאשם רדף אחריו וירה לכיוונו יריות נוספות, בסך הכל 13 יריות, ולאחר מכן נמלט מהמקום. כתוצאה מהיריות המתלונן נפצע קשה באזור החזה, סבל מקרעים רבים בסרעפת, בכבד, בכליה ובמעיים, והיה שקוע בתרדמת ממושכת במשך שישה שבועות. במקום שהתה קבוצת נערים וכתוצאה מהירי נפגע גם נער עובר אורח שמת מפצעיו.
בע""פ 3879/21 סלומון נ' מדינת ישראל (10.8.22) אישר בית המשפט העליון עונש של 15 שנות מאסר שהוטלו על מערער שהורשע בעבירה של ניסיון רצח. צוין שבשעות לילה, חבורת צעירים השתוללו והקימו רעש ברחוב מול בית המערער, פקח עירוני ושוטר סיור, העירו לחבורת הצעירים וביקשו מהם לחדול ממעשיהם. בהמשך המערער העיר לצעירים ואחד מהם הגיב באופן ""מזלזל ופוגעני"". בחלוף זמן קצר, המערער שב למקום כשהוא מצויד באקדח טעון בכדורים, בו החזיק מתוקף היותו מאבטח וירה ירייה מטווח קצר לעבר ראשו של נפגע העבירה שאושפז לכ-10 חודשים ונעשה סיעודי. בית המשפט המחוזי העמיד את מתחם העונש ההולם על 14 עד 18 שנות מאסר.","בתפ""ח 11459-10-09 מדינת ישראל נ' חזיזה (13.11.11), אליו הופנינו על ידי המאשימה, נדון עניינו של נאשם שהורשע בעבירות של רצח וניסיון רצח. הנאשם נדון למאסר עולם בגין עבירת הרצח ו-20 שנות מאסר בגין עבירת ניסיון הרצח מחציתו במצטבר למאסר העולם וחציו בחופף. הנאשם החליט להביא למותו של המתלונן לאחר שהמתלונן עירב אדם אחר בסכסוך כספי שבין הנאשם לחברו של המתלונן. הנאשם פסע לכיוון המתלונן בשעת ערב בעיר והחל לירות לעברו. המתלונן, שנפגע כבר בשלב זה, ניסה להימלט בריצה בעוד הנאשם רדף אחריו וירה לכיוונו יריות נוספות, בסך הכל 13 יריות, ולאחר מכן נמלט מהמקום. כתוצאה מהיריות המתלונן נפצע קשה באזור החזה, סבל מקרעים רבים בסרעפת, בכבד, בכליה ובמעיים, והיה שקוע בתרדמת ממושכת במשך שישה שבועות. במקום שהתה קבוצת נערים וכתוצאה מהירי נפגע גם נער עובר אורח שמת מפצעיו.",1,"תפ""ח 11459-10-09",http://www.nevo.co.il/case/4697326
"ע""פ 3879/21","בתפ""ח 11459-10-09 מדינת ישראל נ' חזיזה (13.11.11), אליו הופנינו על ידי המאשימה, נדון עניינו של נאשם שהורשע בעבירות של רצח וניסיון רצח. הנאשם נדון למאסר עולם בגין עבירת הרצח ו-20 שנות מאסר בגין עבירת ניסיון הרצח מחציתו במצטבר למאסר העולם וחציו בחופף. הנאשם החליט להביא למותו של המתלונן לאחר שהמתלונן עירב אדם אחר בסכסוך כספי שבין הנאשם לחברו של המתלונן. הנאשם פסע לכיוון המתלונן בשעת ערב בעיר והחל לירות לעברו. המתלונן, שנפגע כבר בשלב זה, ניסה להימלט בריצה בעוד הנאשם רדף אחריו וירה לכיוונו יריות נוספות, בסך הכל 13 יריות, ולאחר מכן נמלט מהמקום. כתוצאה מהיריות המתלונן נפצע קשה באזור החזה, סבל מקרעים רבים בסרעפת, בכבד, בכליה ובמעיים, והיה שקוע בתרדמת ממושכת במשך שישה שבועות. במקום שהתה קבוצת נערים וכתוצאה מהירי נפגע גם נער עובר אורח שמת מפצעיו.
בע""פ 3879/21 סלומון נ' מדינת ישראל (10.8.22) אישר בית המשפט העליון עונש של 15 שנות מאסר שהוטלו על מערער שהורשע בעבירה של ניסיון רצח. צוין שבשעות לילה, חבורת צעירים השתוללו והקימו רעש ברחוב מול בית המערער, פקח עירוני ושוטר סיור, העירו לחבורת הצעירים וביקשו מהם לחדול ממעשיהם. בהמשך המערער העיר לצעירים ואחד מהם הגיב באופן ""מזלזל ופוגעני"". בחלוף זמן קצר, המערער שב למקום כשהוא מצויד באקדח טעון בכדורים, בו החזיק מתוקף היותו מאבטח וירה ירייה מטווח קצר לעבר ראשו של נפגע העבירה שאושפז לכ-10 חודשים ונעשה סיעודי. בית המשפט המחוזי העמיד את מתחם העונש ההולם על 14 עד 18 שנות מאסר.
בע""פ 687/22 טלוי נ' מדינת ישראל (19.5.22) אליו הופנינו על ידי המאשימה, החמיר בית המשפט העליון בעונשו של המערער שהורשע, על יסוד הודאתו, בעבירות של חבלה בכוונה מחמירה ושינוי זהות של רכב או של חלק של רכב, והעמידו על 15 שנות מאסר חלף 12 שנות מאסר שהוטלו עליו בבית המשפט המחוזי. בית המשפט העליון קבע את מתחם הענישה בין 16 ל-20 שנות מאסר. עם זאת, בשים לב לנסיבותיו האישיות של המערער ולכלל לפיו אין זו דרכה של ערכאת הערעור למצות עם המערער את הדין במלוא חומרתו, בית המשפט העליון חרג מהמתחם והעמיד את עונשו של המערער על 15 שנות מאסר.","בע""פ 3879/21 סלומון נ' מדינת ישראל (10.8.22) אישר בית המשפט העליון עונש של 15 שנות מאסר שהוטלו על מערער שהורשע בעבירה של ניסיון רצח. צוין שבשעות לילה, חבורת צעירים השתוללו והקימו רעש ברחוב מול בית המערער, פקח עירוני ושוטר סיור, העירו לחבורת הצעירים וביקשו מהם לחדול ממעשיהם. בהמשך המערער העיר לצעירים ואחד מהם הגיב באופן ""מזלזל ופוגעני"". בחלוף זמן קצר, המערער שב למקום כשהוא מצויד באקדח טעון בכדורים, בו החזיק מתוקף היותו מאבטח וירה ירייה מטווח קצר לעבר ראשו של נפגע העבירה שאושפז לכ-10 חודשים ונעשה סיעודי. בית המשפט המחוזי העמיד את מתחם העונש ההולם על 14 עד 18 שנות מאסר.",1,"תפ""ח 11459-10-09",http://www.nevo.co.il/case/4697326
