citation,context_text,extracted_text,predicted_label,extracted_citation,link
"ע""פ 8109/15","10.	בענייננו הציגו הצדדים הסדר מסוג ""הסדר טווח"" במסגרתו המאשימה הגבילה את טיעוניה לעונש של  33 חודשי מאסר ואילו ב""כ הנאשם טען באופן חופשי, ועתר לעונש החופף את תקופת מעצרו (כ-12 חודשי מאסר).
בפסיקת בית המשפט העליון קיימות גישות שונות ביחס לשאלה האם במסגרת הסדר ""טווח"" פטור בית המשפט מחובתו לקבוע מתחם עונש הולם. מחד, קיימת גישה לפיה קביעת מתחם עונש הולם על-ידי בית המשפט היא אמירה נורמטיבית של בית המשפט אשר צריכה להיאמר ללא קשר להסדר שבין הצדדים. מאידך, קיימת גישה לפיה בנסיבות דומות, של הסדר ""טווח"", אין מקום לקביעת מתחם עונש הולם. לעניין הגישות השונות ראו למשל ע""פ 8109/15  אביטן נ' מדינת ישראל (פורסם בנבו, 09.06.2016), פסקה 8.
לצד אלו, קיימת גם גישת ביניים לפיה במקרים דומים אין צורך בהרחבה ובפירוט של מתחם העונש ההולם. צורך שכזה יכול לקום בעיקר עת מוצא בית המשפט להטיל עונש שסוטה מהעונש המוסכם או שנמצא הוא מחוץ לטווח המוסכם. בעניין זה ראו למשל ע""פ 6943/16 גלקין נ' מדינת ישראל (פורסם בנבו, 28.01.2018), פסקה 3.","בפסיקת בית המשפט העליון קיימות גישות שונות ביחס לשאלה האם במסגרת הסדר ""טווח"" פטור בית המשפט מחובתו לקבוע מתחם עונש הולם. מחד, קיימת גישה לפיה קביעת מתחם עונש הולם על-ידי בית המשפט היא אמירה נורמטיבית של בית המשפט אשר צריכה להיאמר ללא קשר להסדר שבין הצדדים. מאידך, קיימת גישה לפיה בנסיבות דומות, של הסדר ""טווח"", אין מקום לקביעת מתחם עונש הולם. לעניין הגישות השונות ראו למשל ע""פ 8109/15  אביטן נ' מדינת ישראל (פורסם בנבו, 09.06.2016), פסקה 8.",0,"ע""פ 8109/15",http://www.nevo.co.il/case/20683368
"ע""פ 6943/16","בפסיקת בית המשפט העליון קיימות גישות שונות ביחס לשאלה האם במסגרת הסדר ""טווח"" פטור בית המשפט מחובתו לקבוע מתחם עונש הולם. מחד, קיימת גישה לפיה קביעת מתחם עונש הולם על-ידי בית המשפט היא אמירה נורמטיבית של בית המשפט אשר צריכה להיאמר ללא קשר להסדר שבין הצדדים. מאידך, קיימת גישה לפיה בנסיבות דומות, של הסדר ""טווח"", אין מקום לקביעת מתחם עונש הולם. לעניין הגישות השונות ראו למשל ע""פ 8109/15  אביטן נ' מדינת ישראל (פורסם בנבו, 09.06.2016), פסקה 8.
לצד אלו, קיימת גם גישת ביניים לפיה במקרים דומים אין צורך בהרחבה ובפירוט של מתחם העונש ההולם. צורך שכזה יכול לקום בעיקר עת מוצא בית המשפט להטיל עונש שסוטה מהעונש המוסכם או שנמצא הוא מחוץ לטווח המוסכם. בעניין זה ראו למשל ע""פ 6943/16 גלקין נ' מדינת ישראל (פורסם בנבו, 28.01.2018), פסקה 3.
סבורני כי נוכח אופיו של ההסדר והעובדה שהעונש שאותו מצאתי להטיל על הנאשם אינו חורג מטווח הענישה המוסכם, אין הכרח לשרטט במדויק את גבולות מתחם העונש ההולם אף שלטעמי עונש של 12 חודשי מאסר כפי שעתר ב""כ הנאשם, לא יכול לבוא בגדרו של מתחם העונש ההולם את מקרה זה, אף לא בשוליו התחתונים.","לצד אלו, קיימת גם גישת ביניים לפיה במקרים דומים אין צורך בהרחבה ובפירוט של מתחם העונש ההולם. צורך שכזה יכול לקום בעיקר עת מוצא בית המשפט להטיל עונש שסוטה מהעונש המוסכם או שנמצא הוא מחוץ לטווח המוסכם. בעניין זה ראו למשל ע""פ 6943/16 גלקין נ' מדינת ישראל (פורסם בנבו, 28.01.2018), פסקה 3.",0,"ע""פ 8109/15",http://www.nevo.co.il/case/20683368
"ב ש""פ 4322/07","13.	הערכים המוגנים שעומדים בבסיס עבירת הסחר בסמים שעבר הנאשם הם הגנה על שלום הציבור ובריאותו.
14.	הפגיעה ההרסנית הכרוכה בשימוש בסמים כמו גם הנזקים החברתיים והכלכליים העקיפים הנגרמים עקב הצורך בהשגת הסמים ובהפצתם, מחייבים עמדה ברורה ובלתי מתפשרת כנגד נגע הסמים. התוצאות של עבירות הסמים הן תוצאות קשות ופוגעות הן פגיעה רוחבית במרקם חיי החברה. נכון הוא הדבר לכל שרשרת מפיצי הסם והמסייעים בידיהם. לעניין זה ראו בש""פ 4322/07  סיטבון נ' מדינת ישראל, (פורסם בנבו, 29.05.2007), פסקה 4:
""המסוכנות לשלום הציבור הנודעת מעברייני הסמים הינה מהמפורסמות שאינן צריכות ראיה. נגע הסמים מחלחל לשכבות רבות בציבור ומותיר אחריו שובל של קורבנות בגוף ובנפש...על חברה החפצה חיים לקדש מלחמת חורמה במארה בנגעים אלה של הסמים, וזאת בכל תחום אפשרי. חלקם של רשויות האכיפה ובתי המשפט במלחמה זו הינו מכריע.""","לעניין זה ראו בש""פ 4322/07  סיטבון נ' מדינת ישראל, (פורסם בנבו, 29.05.2007), פסקה 4:
""המסוכנות לשלום הציבור הנודעת מעברייני הסמים הינה מהמפורסמות שאינן צריכות ראיה. נגע הסמים מחלחל לשכבות רבות בציבור ומותיר אחריו שובל של קורבנות בגוף ובנפש...על חברה החפצה חיים לקדש מלחמת חורמה במארה בנגעים אלה של הסמים, וזאת בכל תחום אפשרי. חלקם של רשויות האכיפה ובתי המשפט במלחמה זו הינו מכריע.""",0,"ש""פ 4322/07",
"ע""פ 4522/18","""המסוכנות לשלום הציבור הנודעת מעברייני הסמים הינה מהמפורסמות שאינן צריכות ראיה. נגע הסמים מחלחל לשכבות רבות בציבור ומותיר אחריו שובל של קורבנות בגוף ובנפש...על חברה החפצה חיים לקדש מלחמת חורמה במארה בנגעים אלה של הסמים, וזאת בכל תחום אפשרי. חלקם של רשויות האכיפה ובתי המשפט במלחמה זו הינו מכריע.""
באשר לחומרה ולנזק שבעבירת הסחר בסמים ראו ע""פ 4522/18 מדינת ישראל נגד אסאבן  (פורסם בנבו, 1.11.18), פסקה 10:
""בית משפט זה עמד פעמים רבות על חומרתן של עבירות הסמים, ובפרט עבירת הסחר בסמים. חומרה זו נובעת, בין היתר, מנזקיהם הקשים של הסמים – במיוחד כך לגבי סמים המוגדרים 'קשים' – הן למשתמשים, הן לסביבתם [...] לפיכך נפסק לא אחת כי עבירות אלו מחייבות מענה החלטי על דרך של ענישה מחמירה ומרתיעה [...] כבר צוין כי הענישה בעבירות סמים מאופיינת בשונות רבה, נוכח ""האינדיבידואליות בענישה והייחודיות של המקרים השונים [...] במסגרת זו יש ליחס משקל גם לסוג הסם ולכמותו"".","באשר לחומרה ולנזק שבעבירת הסחר בסמים ראו ע""פ 4522/18 מדינת ישראל נגד אסאבן  (פורסם בנבו, 1.11.18), פסקה 10:
""בית משפט זה עמד פעמים רבות על חומרתן של עבירות הסמים, ובפרט עבירת הסחר בסמים. חומרה זו נובעת, בין היתר, מנזקיהם הקשים של הסמים – במיוחד כך לגבי סמים המוגדרים 'קשים' – הן למשתמשים, הן לסביבתם [...] לפיכך נפסק לא אחת כי עבירות אלו מחייבות מענה החלטי על דרך של ענישה מחמירה ומרתיעה [...] כבר צוין כי הענישה בעבירות סמים מאופיינת בשונות רבה, נוכח ""האינדיבידואליות בענישה והייחודיות של המקרים השונים [...] במסגרת זו יש ליחס משקל גם לסוג הסם ולכמותו"".",0,"ע""פ 4522/18",http://www.nevo.co.il/case/24287803
"ע""פ 7617/18","להלן אסקור פסיקה במקרים דומים, כאשר כבר עתה אציין כי מודע אני לכך שקיימים הבדלים במישור ה""עושה"" ובמישור ה""מעשה"" בין המקרים שיוזכרו באותה סקירה לבין המקרה שבענייננו, ולהבדלים אלה יינתן המשקל המתאים.
בע""פ 7617/18 אבייב נ' מדינת ישראל (פורסם בנבו, 6.3.2019) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקל של כ-50 גרם בכל מקרה ובשתי עבירות של החזקת סם שלא לצריכה עצמית והחזקת סם לצריכה עצמית בשני תיקים שצרף והותיר על כנו עונש של 42 חודשי מאסר.
בע""פ 8367/18 פלוני נ' מדינת ישראל (פורסם בנבו, 12.3.19) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקלים של כ-30 גרם במקרה הראשון ו-50.4 גרם במקרה השני  והעמיד את עונשו על 30 חודשי מאסר חלף  36 חודשי מאסר שהטיל עליו בית המשפט המחוזי.","בע""פ 7617/18 אבייב נ' מדינת ישראל (פורסם בנבו, 6.3.2019) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקל של כ-50 גרם בכל מקרה ובשתי עבירות של החזקת סם שלא לצריכה עצמית והחזקת סם לצריכה עצמית בשני תיקים שצרף והותיר על כנו עונש של 42 חודשי מאסר.",1,"ע""פ 7617/18",http://www.nevo.co.il/case/25090750
"ע""פ 8367/18","בע""פ 7617/18 אבייב נ' מדינת ישראל (פורסם בנבו, 6.3.2019) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקל של כ-50 גרם בכל מקרה ובשתי עבירות של החזקת סם שלא לצריכה עצמית והחזקת סם לצריכה עצמית בשני תיקים שצרף והותיר על כנו עונש של 42 חודשי מאסר.
בע""פ 8367/18 פלוני נ' מדינת ישראל (פורסם בנבו, 12.3.19) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקלים של כ-30 גרם במקרה הראשון ו-50.4 גרם במקרה השני  והעמיד את עונשו על 30 חודשי מאסר חלף  36 חודשי מאסר שהטיל עליו בית המשפט המחוזי.
בע""פ 3060/15 אבו רגייג נ' מדינת ישראל (פורסם בנבו, 21.7.15) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בסחר בסם מסוכן מסוג קוקאין במשקל של 150 גרם והותיר על כנו עונש של 32 חודשי מאסר.","בע""פ 8367/18 פלוני נ' מדינת ישראל (פורסם בנבו, 12.3.19) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקלים של כ-30 גרם במקרה הראשון ו-50.4 גרם במקרה השני  והעמיד את עונשו על 30 חודשי מאסר חלף  36 חודשי מאסר שהטיל עליו בית המשפט המחוזי.",1,"ע""פ 7617/18",http://www.nevo.co.il/case/25090750
"ע""פ 3060/15","בע""פ 8367/18 פלוני נ' מדינת ישראל (פורסם בנבו, 12.3.19) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע בשתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקלים של כ-30 גרם במקרה הראשון ו-50.4 גרם במקרה השני  והעמיד את עונשו על 30 חודשי מאסר חלף  36 חודשי מאסר שהטיל עליו בית המשפט המחוזי.
בע""פ 3060/15 אבו רגייג נ' מדינת ישראל (פורסם בנבו, 21.7.15) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בסחר בסם מסוכן מסוג קוקאין במשקל של 150 גרם והותיר על כנו עונש של 32 חודשי מאסר.
בע""פ 1965/20 בדואי נ' מדינת ישראל (פורסם בנבו, 11.6.20) קיבל בית המשפט העליון באופן חלקי את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין במשקל של כ-30 גרם ובסיוע לסחר בסם מסוכן מסוג קוקאין במשקל של 39.62 גרם קוקאין והעמיד את עונשו על 30 חודשי מאסר בכך שהפעיל את עונש המאסר המותנה בן 4 חודשים שהיה תלוי ועומד כנגדו בחופף חלף הפעלתו במצטבר על-ידי בית המשפט המחוזי.","בע""פ 3060/15 אבו רגייג נ' מדינת ישראל (פורסם בנבו, 21.7.15) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בסחר בסם מסוכן מסוג קוקאין במשקל של 150 גרם והותיר על כנו עונש של 32 חודשי מאסר.",1,"ע""פ 8367/18",http://www.nevo.co.il/case/25179718
"ע""פ 1965/20","בע""פ 3060/15 אבו רגייג נ' מדינת ישראל (פורסם בנבו, 21.7.15) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בסחר בסם מסוכן מסוג קוקאין במשקל של 150 גרם והותיר על כנו עונש של 32 חודשי מאסר.
בע""פ 1965/20 בדואי נ' מדינת ישראל (פורסם בנבו, 11.6.20) קיבל בית המשפט העליון באופן חלקי את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין במשקל של כ-30 גרם ובסיוע לסחר בסם מסוכן מסוג קוקאין במשקל של 39.62 גרם קוקאין והעמיד את עונשו על 30 חודשי מאסר בכך שהפעיל את עונש המאסר המותנה בן 4 חודשים שהיה תלוי ועומד כנגדו בחופף חלף הפעלתו במצטבר על-ידי בית המשפט המחוזי.
המאשימה צרפה בין היתר את רע""פ 2275/15 אברמוב נ' מדינת ישראל (פורסם בנבו, 5.5.2015) בו דחה בית המשפט העליון בקשת רשות ערעור של נאשם שהורשע בסחר בסמים מסוכנים מסוג קוקאין והרואין במשקל כולל של 40 גרם לסוכן משטרתי והותיר על כנו עונש של 48 חודשי מאסר;","בע""פ 1965/20 בדואי נ' מדינת ישראל (פורסם בנבו, 11.6.20) קיבל בית המשפט העליון באופן חלקי את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין במשקל של כ-30 גרם ובסיוע לסחר בסם מסוכן מסוג קוקאין במשקל של 39.62 גרם קוקאין והעמיד את עונשו על 30 חודשי מאסר בכך שהפעיל את עונש המאסר המותנה בן 4 חודשים שהיה תלוי ועומד כנגדו בחופף חלף הפעלתו במצטבר על-ידי בית המשפט המחוזי.",1,"ע""פ 3060/15",http://www.nevo.co.il/case/20245898
"ר ע""פ 2275/15","בע""פ 1965/20 בדואי נ' מדינת ישראל (פורסם בנבו, 11.6.20) קיבל בית המשפט העליון באופן חלקי את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין במשקל של כ-30 גרם ובסיוע לסחר בסם מסוכן מסוג קוקאין במשקל של 39.62 גרם קוקאין והעמיד את עונשו על 30 חודשי מאסר בכך שהפעיל את עונש המאסר המותנה בן 4 חודשים שהיה תלוי ועומד כנגדו בחופף חלף הפעלתו במצטבר על-ידי בית המשפט המחוזי.
המאשימה צרפה בין היתר את רע""פ 2275/15 אברמוב נ' מדינת ישראל (פורסם בנבו, 5.5.2015) בו דחה בית המשפט העליון בקשת רשות ערעור של נאשם שהורשע בסחר בסמים מסוכנים מסוג קוקאין והרואין במשקל כולל של 40 גרם לסוכן משטרתי והותיר על כנו עונש של 48 חודשי מאסר;
את ע""פ 1987/15 דורי נ' מדינת ישראל (פורסם בנבו, 17.8.2015) בו דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין לסוכן משטרתי במשקל של 50 גרם והותיר על כנו עונש של 26 חודשי מאסר;","המאשימה צרפה בין היתר את רע""פ 2275/15 אברמוב נ' מדינת ישראל (פורסם בנבו, 5.5.2015) בו דחה בית המשפט העליון בקשת רשות ערעור של נאשם שהורשע בסחר בסמים מסוכנים מסוג קוקאין והרואין במשקל כולל של 40 גרם לסוכן משטרתי והותיר על כנו עונש של 48 חודשי מאסר;",1,"ע""פ 1965/20",http://www.nevo.co.il/case/26538247
"ע""פ 1987/15","המאשימה צרפה בין היתר את רע""פ 2275/15 אברמוב נ' מדינת ישראל (פורסם בנבו, 5.5.2015) בו דחה בית המשפט העליון בקשת רשות ערעור של נאשם שהורשע בסחר בסמים מסוכנים מסוג קוקאין והרואין במשקל כולל של 40 גרם לסוכן משטרתי והותיר על כנו עונש של 48 חודשי מאסר;
את ע""פ 1987/15 דורי נ' מדינת ישראל (פורסם בנבו, 17.8.2015) בו דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין לסוכן משטרתי במשקל של 50 גרם והותיר על כנו עונש של 26 חודשי מאסר;
את ת""פ (מחוזי-ת""א) 10429-12-18 מדינת ישראל נ' מגדלאוי ואח' (פורסם בנבו 30.6.2021) בו גזר בית המשפט המחוזי על נאשם 1 שהורשע בביצוע שתי עבירות של סחר בסם מסוכן מסוג קוקאין במשקל של כ-10 גרם במקרה אחד, ו-50.16 גרם במקרה השני, עונש של 37 חודשי מאסר, במנותק מעונש מאסר נוסף שרובו נצבר בגין תיק אחר שצרף.","את ע""פ 1987/15 דורי נ' מדינת ישראל (פורסם בנבו, 17.8.2015) בו דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של סחר בסם מסוכן מסוג קוקאין לסוכן משטרתי במשקל של 50 גרם והותיר על כנו עונש של 26 חודשי מאסר;",1,"ע""פ 2275/15",
