paragraph_number,paragraph_text,citation,part,predicted_label
29,"כקבוע בחוק העונשין (תיקון 113), העיקרון המנחה בענישה הוא עקרון ההלימה, היינו קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו; ובקצרה, העונש הראוי לעבריין ייגזר ממידת אשמו ומחומרת מעשיו. כמו כן, הגדיר תיקון 113 את מדרג שיקולי הענישה וזאת לפי הסדר הבא: הלימה, שיקום, הגנה על שלום הציבור, הרתעה אישית והרתעת הרבים. בעוד שיקול ההלימה הוא שיקול גמולי; יתר השיקולים הינם שיקולים תועלתניים (להרחבה בהקשר זה ר' את מאמרו של כב' השופט עמי קובו, ""מבחן הולם למערכת המשפט"", ירחון עורך הדין, ינואר 2014 עמ' 76). 	השלב הראשון בקביעת העונש הוא קביעת מתחם העונש ההולם. מדובר במתחם נורמטיבי אובייקטיבי, כאשר לשם כך נלקחים במסגרת השיקולים: (1) הערך החברתי שנפגע מביצוע העבירה ומידת הפגיעה בערך זה; (2) מדיניות הענישה הנהוגה; (3) נסיבות הקשורות בביצוע העבירה. המתחם מתייחס למקרה קונקרטי ולא ניתן לקבוע מראש מתחם על פי העבירה בלבד (ור' בנדון האמור ברע""פ 4088/13 אחמד הדרי נ' מדינת ישראל (11.6.13), ע""פ 1323/13 חסן נ' מדינת ישראל (5.6.13)).","ע""פ 4088/13",דיון ומסקנות,0
29,"כקבוע בחוק העונשין (תיקון 113), העיקרון המנחה בענישה הוא עקרון ההלימה, היינו קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו; ובקצרה, העונש הראוי לעבריין ייגזר ממידת אשמו ומחומרת מעשיו. כמו כן, הגדיר תיקון 113 את מדרג שיקולי הענישה וזאת לפי הסדר הבא: הלימה, שיקום, הגנה על שלום הציבור, הרתעה אישית והרתעת הרבים. בעוד שיקול ההלימה הוא שיקול גמולי; יתר השיקולים הינם שיקולים תועלתניים (להרחבה בהקשר זה ר' את מאמרו של כב' השופט עמי קובו, ""מבחן הולם למערכת המשפט"", ירחון עורך הדין, ינואר 2014 עמ' 76). 	השלב הראשון בקביעת העונש הוא קביעת מתחם העונש ההולם. מדובר במתחם נורמטיבי אובייקטיבי, כאשר לשם כך נלקחים במסגרת השיקולים: (1) הערך החברתי שנפגע מביצוע העבירה ומידת הפגיעה בערך זה; (2) מדיניות הענישה הנהוגה; (3) נסיבות הקשורות בביצוע העבירה. המתחם מתייחס למקרה קונקרטי ולא ניתן לקבוע מראש מתחם על פי העבירה בלבד (ור' בנדון האמור ברע""פ 4088/13 אחמד הדרי נ' מדינת ישראל (11.6.13), ע""פ 1323/13 חסן נ' מדינת ישראל (5.6.13)).","ע""פ 1323/13",דיון ומסקנות,0
31,"הערך החברתי המוגן בעבירת הנשק הינו שמירה על ערך החיים, ביטחון הציבור ושלומו. החזקת ונשיאת נשק ללא היתר טומנת בחובה סכנה ממשית שמא הנשק יגיע לידיים לא זהירות או שיעשה שימוש פלילי בנשק ובכך ייגרם נזק ממשי חמור, החל בנזק לרכוש וכלה בנזק לגוף, עד כדי גרימת מוות. זאת ועוד, כבר נאמר כי עצם החזקת נשק באופן שאינו מפוקח על ידי הרשויות טומן בחובו סיכון פן המחזיק בו יתפתה לעשות בו שימוש, ולו ברגעי לחץ ופחד (ר' ע""פ 4945/13 מדינת ישראל נ' סלימאן (19.1.14); ע""פ 3300/06 אבו סנינה נ' מדינת ישראל (10.8.06)).","ע""פ 4945/13",דיון ומסקנות,0
31,"הערך החברתי המוגן בעבירת הנשק הינו שמירה על ערך החיים, ביטחון הציבור ושלומו. החזקת ונשיאת נשק ללא היתר טומנת בחובה סכנה ממשית שמא הנשק יגיע לידיים לא זהירות או שיעשה שימוש פלילי בנשק ובכך ייגרם נזק ממשי חמור, החל בנזק לרכוש וכלה בנזק לגוף, עד כדי גרימת מוות. זאת ועוד, כבר נאמר כי עצם החזקת נשק באופן שאינו מפוקח על ידי הרשויות טומן בחובו סיכון פן המחזיק בו יתפתה לעשות בו שימוש, ולו ברגעי לחץ ופחד (ר' ע""פ 4945/13 מדינת ישראל נ' סלימאן (19.1.14); ע""פ 3300/06 אבו סנינה נ' מדינת ישראל (10.8.06)).","ע""פ 3300/06",דיון ומסקנות,0
37,"מנגד, כנסיבות לקולא ולו באופן יחסי, ניתן לציין כי אכן לא נסתרה טענת הנאשם שמשך הזמן (והמרחק) שבו נשא את הרימון לא היה משמעותי וגם אם לא היתה הסכמה מפורשת לכך, מהנתון האחרון לעיל עולה, ולו על פני הדברים, כי ""תפקידו"" של הנאשם היה להיות שליח (לדבר עבירה) ולא היתה לו כוונה (ואף לא נטען אחרת) לעשות ברימון שימוש ולהפעילו כנגד אדם או רכוש. יחד עם זאת, יודגש כי גם אם אקבל את הטענה כי מדובר בבלדר ""בלבד"" לא ניתן להסיק שיש להקל עמו באופן משמעותי, שכן גם על בלדרים יש להשית עונשים שיבהירו שעיסוק זה אינו ""משתלם"" (וראה בהקשר זה, הגם שבהקשר לבלדרי סמים, את האמור בע""פ 1282/07  בן אבו נ' מדינת ישראל (25.7.07), ע""פ 2648/92 סלאמה נ' מדינת ישראל (9.3.93), ע""פ 3820/09 מדינת ישראל נ' אוחיון (6.9.09), והדברים נכונים, בשינויים המחויבים, גם לענייננו).","ע""פ 1282/07",דיון ומסקנות,0
37,"מנגד, כנסיבות לקולא ולו באופן יחסי, ניתן לציין כי אכן לא נסתרה טענת הנאשם שמשך הזמן (והמרחק) שבו נשא את הרימון לא היה משמעותי וגם אם לא היתה הסכמה מפורשת לכך, מהנתון האחרון לעיל עולה, ולו על פני הדברים, כי ""תפקידו"" של הנאשם היה להיות שליח (לדבר עבירה) ולא היתה לו כוונה (ואף לא נטען אחרת) לעשות ברימון שימוש ולהפעילו כנגד אדם או רכוש. יחד עם זאת, יודגש כי גם אם אקבל את הטענה כי מדובר בבלדר ""בלבד"" לא ניתן להסיק שיש להקל עמו באופן משמעותי, שכן גם על בלדרים יש להשית עונשים שיבהירו שעיסוק זה אינו ""משתלם"" (וראה בהקשר זה, הגם שבהקשר לבלדרי סמים, את האמור בע""פ 1282/07  בן אבו נ' מדינת ישראל (25.7.07), ע""פ 2648/92 סלאמה נ' מדינת ישראל (9.3.93), ע""פ 3820/09 מדינת ישראל נ' אוחיון (6.9.09), והדברים נכונים, בשינויים המחויבים, גם לענייננו).","ע""פ 2648/92",דיון ומסקנות,0
37,"מנגד, כנסיבות לקולא ולו באופן יחסי, ניתן לציין כי אכן לא נסתרה טענת הנאשם שמשך הזמן (והמרחק) שבו נשא את הרימון לא היה משמעותי וגם אם לא היתה הסכמה מפורשת לכך, מהנתון האחרון לעיל עולה, ולו על פני הדברים, כי ""תפקידו"" של הנאשם היה להיות שליח (לדבר עבירה) ולא היתה לו כוונה (ואף לא נטען אחרת) לעשות ברימון שימוש ולהפעילו כנגד אדם או רכוש. יחד עם זאת, יודגש כי גם אם אקבל את הטענה כי מדובר בבלדר ""בלבד"" לא ניתן להסיק שיש להקל עמו באופן משמעותי, שכן גם על בלדרים יש להשית עונשים שיבהירו שעיסוק זה אינו ""משתלם"" (וראה בהקשר זה, הגם שבהקשר לבלדרי סמים, את האמור בע""פ 1282/07  בן אבו נ' מדינת ישראל (25.7.07), ע""פ 2648/92 סלאמה נ' מדינת ישראל (9.3.93), ע""פ 3820/09 מדינת ישראל נ' אוחיון (6.9.09), והדברים נכונים, בשינויים המחויבים, גם לענייננו).","ע""פ 3820/09",דיון ומסקנות,0
41,"ככלל, אין חולק אודות החומרה הטמונה בעבירות הנשק ועל מגמת החמרה בענישה בעבירות אלה. כך למשל, בע""פ 135/17 מדינת ישראל נ' בסל (8.3.17) נקבע:","ע""פ 135/17",דיון ומסקנות,0
45,"(ועוד ר' האמור בע""פ 9702/16 אבו אלוליאיה נ' מדינת ישראל (13.9.17)).","ע""פ 9702/16",דיון ומסקנות,0
47,"עם זאת, כל מקרה ונסיבותיו ובהקשר זה יש להתחשב, בסוג הנשק; מטרת נשיאתו, משך ההחזקה, וכו' (וראה בהקשר זה האמור בב""ש 625/82 אבו מוך נ' מדינת ישראל, פ""ד לז(3) 668 (1982); ע""פ 1323/13 חסן נ' מדינת ישראל (5.6.13)).","ע""פ 1323/13",דיון ומסקנות,0
