verdict,appeal,url
"ת""פ 5187-07-10","ע""פ 9373∕10",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=5187&NEWPARTB=07&NEWPARTC=10
"ת""פ 241770-07-10","ע""פ 3156∕11",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=241770&NEWPARTB=07&NEWPARTC=10
"ת""פ 38015-01-12","ע""פ 4945∕13",http://www.nevo.co.il/links/psika/?NEWPROC=תפ&NEWPARTA=38015&NEWPARTB=01&NEWPARTC=12
"ת""פ 40240-09-12","ע""פ 1768∕14",http://www.nevo.co.il/case/3942428
"ת""פ 54150-10-13","ע""פ 5643∕14",http://www.nevo.co.il/case/8466781
"ת""פ 17707-04-14","ע""פ 448∕15",http://www.nevo.co.il/case/16870510
"ת""פ 60820-07-14","ע""פ 780∕16",http://www.nevo.co.il/case/17101836
"ת""פ 4222-09-15","ע""פ 3877∕16",http://www.nevo.co.il/case/20548556
"ת""פ 9983-05-16","ע""פ 135∕17",http://www.nevo.co.il/case/21659433
"ת""פ 23253-12-15","ע""פ 390∕17",http://www.nevo.co.il/case/20788127
תיק פח 054801-06-15,"ע""פ 5004∕17",
"ת""פ 46999-07-16","ע""פ 8045∕17",http://www.nevo.co.il/case/22099017
"ת""פ 9597-05-17","ע""פ 2802∕18",http://www.nevo.co.il/case/22590493
No verdict found,"ע""פ 2826∕19",
"ת""פ 60792-07-18","ע""פ 4530∕19",http://www.nevo.co.il/case/24413550
"ת""פ 64753-12-18","ע""פ 5968∕19",http://www.nevo.co.il/case/25268053
"ת""פ 21491-01-11","ע""פ 5373∕12",http://www.nevo.co.il/case/3735504
"ת""פ 45432-11-15","ע""פ 4154∕16",http://www.nevo.co.il/case/20741375
"ת""פ 14380-06-17","ע""פ 8207∕19",http://www.nevo.co.il/case/22713301
"ת""פ 19087-06-13","ע""פ 8845∕15",http://www.nevo.co.il/case/7676477
"ת""פ 53615-01-19","ע""פ 1509∕20",http://www.nevo.co.il/case/25350698
