paragraph_number,paragraph_text,citation,part,predicted_label
178,"הגנה מן הצדק – כפי שנקבע בהכרעת הדין, בהחלת עקרון ההגנה מן הצדק נלקחים בחשבון מגוון רחב של שיקולים, ובהם, חומרת העבירה, נסיבות המקרה וכן שיקולים של גמול והרתעה. יש לאזן במכלול השיקולים גם את האינטרס הציבורי בקיום המשפט, במיצוי הדין עם עבריינים ובשמירה על ביטחון הציבור ועל זכויותיהם של נפגעי העבירה. מנגד, יש להביא בחשבון גם את זכויות הנאשם, את טוהר ההליך הפלילי, את השאיפה להביא לפסילת מהלכים נפסדים של הרשות ולשמור על אמון הציבור בבית המשפט. ההצדקה המרכזית לשימוש בעקרון זה הוא ""הרצון להבטיח כי רשויות החוק ינהגו באופן ראוי, כמתחייב ממעמדן כגוף שלטוני"" (ראו ע""פ 5975/14 אברהים דרויש אגבריה נ' מדינת ישראל (פורסם בנבו, 31.12.2015, להלן: ""עניין אגבריה"").","ע""פ 5975/14",דיון והכרעה,0
199,"עבירות סחר וייבוא סמים הן מהחמורות שבעבירות הסמים בהינתן התרומה של הנאשמים בעבירות אלו להפצת הסם בקרב הציבור מתוך בצע כסף ותוך ניצול התמכרותם ותלותם של משתמשי הסם וצרכניו. אין להכביר במילים אודות הנזק הרב הנגרם ליחיד ולחברה מעבירות הסמים והתפשטותן כרעה חולה בחברתנו. לא בכדי עמדו בתי המשפט באין ספור פסקי דין על הצורך שיש במיגור עבירות הסמים באמצעות הטלת עונשים חמורים ומשמעותיים (ר' לדוגמא ע""פ 3172/13 סואעד נ' מדינת ישראל (פורסם בנבו, 6.1.14)).","ע""פ 3172/13",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,0
206,"ע""פ 2926/02 גבריאל נ' מדינת ישראל (לא פורסם, 10.10.2002) – מדובר בערעור של יחזקאל על הרשעה קודמת בגין שלוש עבירות של סחר בסם (לסוכן משטרתי סמוי) ושימוש בסם לצריכה עצמית. נגזרו עליו 6 שנות מאסר בפועל ועונשים נלווים. נקבע בפסק הדין ביחס למעורבות סוכן משטרתי כי:","ע""פ 2926/02",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,1
208,"ע""פ 972/11 מדינת ישראל נ' יונה (פורסם בנבו, 4.7.2012) – הנאשם הורשע בעבירה של ניסיון לייבא סם מסוכן מסוג קוקאין (2.5 ק""ג) ובעבירה של ייבוא סם מסוכן (11 גרם). נגזרו עליו 6 שנות מאסר ובערעור הוחמר עונשו ל-8 שנות מאסר (יצוין כי העבירות נושא פסק הדין בוצעו ללא מעורבות סוכן סמוי, ביוזמת הנאשם אשר תכנן, נסע לפרו פעמיים לשם רכישת הסם ולאחר מכן, דאג לייבאו, הגם שלבסוף נתפס על ידי שלטונות פרו).","ע""פ 972/11",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,1
210,"ע""פ 7952/15 מדינת ישראל נ' אילון ישראל שץ (15.2.2016) – הנאשם הורשע בעבירות של סחר בסם מסוכן מסוג קוקאין (3 ק""ג). בערעור הורשע בעבירה נוספת של ניסיון לייבא סם ועונשו הוחמר מ-40 חודשי מאסר ל-52 חודשי מאסר בפועל.","ע""פ 7952/15",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,1
211,"ע""פ 2345/12 עוני טרביאה נגד מדינת ישראל (27.8.13) – התקבל ערעורו של נאשם שהורשע – על-פי הודייתו – בעבירות ייבוא סמים מסוכנים מסוג הרואין וקוקאין בכמות של 75 ק""ג, ועונשו הופחת מ – 9 שנות מאסר ל-8 שנים. באותה פרשייה נגזרו על נאשמים נוספים שהורשע במסגרת הסדרי טיעון בעבירות של קשירת קשר לביצוע פשע וייבוא סם מסוכן, עונשים של 12, 9 ו-7 שנות מאסר (הנאשם האחרון היה קטין בעת ביצוע העבירות).","ע""פ 2345/12",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,1
214,"ע""פ 100/14 מדינת ישראל נ' מחטייב (פורסם בנבו, 10.12.2014) – ערעור על גזר דין שהושת על מחטייב (ממנו רכש הנאשם בענייננו סמים לעצמו וכן תיווך סמים לסוכן), לאחר שהורשע על פי הודאתו ובמסגרת הסדר טיעון, בארבע עבירות של סחר בסם מסוכן, ונגזרו עליו 5 שנות מאסר בפועל ו-18 חודשי מאסר על תנאי. מחטייב גרס כי הודח על ידי הסוכן לבצע את העבירות. בית המשפט העליון לא התערב בעונש שנגזר.","ע""פ 100/14",מתחם הענישה בעבירות של סחר בסם וניסיון לייבא סם,1
244,"ע""פ 3578/12 עזמה נ' מדינת ישראל (פורסם בנבו, 17.1.2013) – שתי עבירות של תיווך סם לסוכן משטרתי (בסה""כ כ-300 גרם קוקאין), נגזרו 50 חודשי מאסר לריצוי בפועל ועונשים נלווים.","ע""פ 3578/12",מתחם הענישה בגין עבירת התיווך בסם,1
245,"רע""פ 126/15 חביף נ' מדינת ישראל (פורסם בנבו, 13.1.2015) – 3 עבירות של מכירת סם מסוג קוקאין לסוכן משטרתי (כמות כוללת של 4 גרם). נקבע מתחם ענישה לכל עבירת סחר או תיווך בין 8 ל- 18 חודשי מאסר.","ע""פ 126/15",מתחם הענישה בגין עבירת התיווך בסם,1
250,"כאמור בפתח הדברים, הנאשם הורשע בסחר בנשק בכך שמסר לסוכן חומר נפץ מסוג ציקלוניט במשקל 17.6 גרם. כן הורשע בהחזקת חומר נפץ מסוג זה בכמות בלתי ידועה. הערכים החברתיים שנפגעו מביצוע עבירות אלו הם שמירה על החיים והגוף ועל שלום הציבור ובטחונו. לנוכח הפוטנציאל הקטלני הגלום בעבירות הנשק לצד נפיצותן בשנים האחרונות, ניכרת מגמת החמרה במדיניות הענישה הנוהגת בעבירות אלו (לעניין זה ר' למשל ע""פ 1323/13 רך חסן נ' מדינת ישראל (פורסם בנבו, 05.06.13).","ע""פ 1323/13",מתחם הענישה בגין סחר והחזקת נשק (חומר הנפץ),0
