paragraph_number,paragraph_text,citation,part,predicted_label
84,"בע""פ 4355/05 ברקאת נ' מדינת ישראל נפסק על ידי בית המשפט העליון בהאי לישנא:","ע""פ 4355/05",דיון והכרעה:,0
87,"ובע""פ 10680/04 מדינת ישראל נ' מחמד כנעאנה נפסק כי:","ע""פ 10680/04",דיון והכרעה:,0
100,"ע""פ 401/16 וערעור שכנגד מדינת ישראל נ' יצחק גבאי נפסק על ידי בית המשפט המחוזי מתחם ענישה לעבירת ההסתה הנע בין 6 ל – 18 חודשי מאסר בפועל. בית המשפט העליון לא התערב במתחם הענישה.","ע""פ 401/16",מתחם הענישה:,1
106,"בע""פ 2834/18 ג'אבר נ' מדינת ישראל נקבע על ידי בית המשפט המחוזי מתחם ענישה הנע בין 20 חודשי מאסר עד ארבע שנים לעבירות של סחר בנשק ולעבירות התיווך שלא הגיעו לכדי סחר נקבע מתחם ענישה הנע בין 15 חודשי מאסר לשלוש שנות מאסר. בית המשפט העליון קבע כי מתחמי הענישה שקבע בית המשפט המחוזי אינם חורגים ממדיניות הענישה הנוהגת וציין את המגמה בפסיקה לגדוע את התופעה המסוכנת של סחר בלתי חוקי בנשק.","ע""פ 2834/18",מתחם הענישה:,1
108,"בע""פ 2293/19 וע""פ 2318/19 גווליס ואח' נ' מדינת ישראל נקבעו על ידי בית המשפט המחוזי מתחמי הענישה הבאים: לעבירות של סחר בנשק וניסיון קשירת קשר – 30 – 60 חודשי מאסר; לעבירות של סחר בנשק, נשיאה והובלה וקשירת קשר מתחם הנע בין 3 ל – 6 שנות מאסר ובעבירה של סיוע לניסיון סחר בנשק, נשיאה והובלה מתחם הנע בין שנתיים לארבע שנות מאסר. בית המשפט העליון דחה את הערעורים ולא התערב במתחמי הענישה.","ע""פ 2293/19",מתחם הענישה:,1
108,"בע""פ 2293/19 וע""פ 2318/19 גווליס ואח' נ' מדינת ישראל נקבעו על ידי בית המשפט המחוזי מתחמי הענישה הבאים: לעבירות של סחר בנשק וניסיון קשירת קשר – 30 – 60 חודשי מאסר; לעבירות של סחר בנשק, נשיאה והובלה וקשירת קשר מתחם הנע בין 3 ל – 6 שנות מאסר ובעבירה של סיוע לניסיון סחר בנשק, נשיאה והובלה מתחם הנע בין שנתיים לארבע שנות מאסר. בית המשפט העליון דחה את הערעורים ולא התערב במתחמי הענישה.","ע""פ 2318/19",מתחם הענישה:,1
116,"בתפ""ח 43336-09-15 (מחוזי ב""ש) מדינת ישראל נ' סמהדאן נקבע מתחם ענישה הנע בין שנתיים לארבע שנות מאסר בגין עבירה  של מגע עם סוכן חוץ ויציאה מן הארץ שלא כדין.","תפ""ח 43336-09-15",מתחם הענישה:,1
118,"חלק מן הפסיקה שהוגשה על ידי ב""כ הנאשם עניינה הכרעות דין (ת.פ. 17491-10-17 פרקליטות מחוז חיפה נ' חלף וע""פ 6434/15 וע""פ 838/16 מדינת ישראל נ' שביר ומשרהאוי נ' מדינת ישראל כמו גם ע""פ 10680/04 מדינת ישראל נ' כנעאנה בו הוחמר עונשו של המערער אשר הורשע בעבירות של מגע עם סוכן חוץ).","ע""פ 6434/15",מתחם הענישה:,0
118,"חלק מן הפסיקה שהוגשה על ידי ב""כ הנאשם עניינה הכרעות דין (ת.פ. 17491-10-17 פרקליטות מחוז חיפה נ' חלף וע""פ 6434/15 וע""פ 838/16 מדינת ישראל נ' שביר ומשרהאוי נ' מדינת ישראל כמו גם ע""פ 10680/04 מדינת ישראל נ' כנעאנה בו הוחמר עונשו של המערער אשר הורשע בעבירות של מגע עם סוכן חוץ).","ע""פ 838/16",מתחם הענישה:,0
118,"חלק מן הפסיקה שהוגשה על ידי ב""כ הנאשם עניינה הכרעות דין (ת.פ. 17491-10-17 פרקליטות מחוז חיפה נ' חלף וע""פ 6434/15 וע""פ 838/16 מדינת ישראל נ' שביר ומשרהאוי נ' מדינת ישראל כמו גם ע""פ 10680/04 מדינת ישראל נ' כנעאנה בו הוחמר עונשו של המערער אשר הורשע בעבירות של מגע עם סוכן חוץ).","ע""פ 10680/04",מתחם הענישה:,0
